device,model,workload,batch_size,tp,dtype,M,N,K,median_time_ms,std_time_ms,tflops,theory_tflops,mfu_pct,bandwidth_gbps,mbu_pct
Ascend950PR_957b,Basic,Mx4096x4096,1,1,fp32,1,4096,4096,0.0965,0.0026,0.3479,0.7996,43.50,696.0712,43.50
Ascend950PR_957b,Basic,Mx4096x4096,2,1,fp32,2,4096,4096,0.0956,0.0020,0.7017,1.5984,43.90,702.3635,43.90
Ascend950PR_957b,Basic,Mx4096x4096,3,1,fp32,3,4096,4096,0.0960,0.0015,1.0486,2.3965,43.76,700.1221,43.76
Ascend950PR_957b,Basic,Mx4096x4096,4,1,fp32,4,4096,4096,0.0948,0.0020,1.4156,3.1938,44.33,709.2035,44.33
Ascend950PR_957b,Basic,Mx4096x4096,8,1,fp32,8,4096,4096,0.0960,0.0019,2.7966,6.3751,43.87,701.8910,43.87
Ascend950PR_957b,Basic,Mx4096x4096,16,1,fp32,16,4096,4096,0.0968,0.0013,5.5437,12.7008,43.65,698.3758,43.65
Ascend950PR_957b,Basic,Mx4096x4096,32,1,fp32,32,4096,4096,0.1003,0.0015,10.7060,25.2062,42.47,679.5832,42.47
Ascend950PR_957b,Basic,Mx4096x4096,64,1,fp32,64,4096,4096,0.1126,0.0015,19.0637,49.6485,38.40,614.3591,38.40
Ascend950PR_957b,Basic,Mx4096x4096,128,1,fp32,128,4096,4096,0.2108,0.0018,20.3763,50.0000,40.75,338.2792,21.14
Ascend950PR_957b,Basic,Mx4096x4096,256,1,fp32,256,4096,4096,0.4093,0.0022,20.9854,50.0000,41.97,184.4418,11.53
Ascend950PR_957b,Basic,Mx4096x4096,1024,1,fp32,1024,4096,4096,1.5225,0.0027,22.5679,50.0000,45.14,66.1170,4.13
Ascend950PR_957b,Basic,Mx4096x4096,4096,1,fp32,4096,4096,4096,5.8604,0.0023,23.4523,50.0000,46.90,34.3540,2.15
Ascend950PR_957b,Basic,Mx4096x4096,4099,1,fp32,4099,4096,4096,6.0948,0.0023,22.5666,50.0000,45.13,33.0484,2.07
Ascend950PR_957b,Basic,Mx4096x4096,5000,1,fp32,5000,4096,4096,7.2864,0.0042,23.0255,50.0000,46.05,31.6960,1.98
Ascend950PR_957b,Basic,Mx4096x4096,8192,1,fp32,8192,4096,4096,11.7084,0.0032,23.4769,50.0000,46.95,28.6583,1.79
Ascend950PR_957b,Basic,Mx4096x4096,1,1,bf16,1,4096,4096,0.0504,0.0023,0.6663,1.5992,41.66,666.6299,41.66
Ascend950PR_957b,Basic,Mx4096x4096,2,1,bf16,2,4096,4096,0.0500,0.0016,1.3414,3.1969,41.96,671.3479,41.96
Ascend950PR_957b,Basic,Mx4096x4096,3,1,bf16,3,4096,4096,0.0514,0.0018,1.9574,4.7930,40.84,653.4357,40.84
Ascend950PR_957b,Basic,Mx4096x4096,4,1,bf16,4,4096,4096,0.0492,0.0017,2.7295,6.3875,42.73,683.7079,42.73
Ascend950PR_957b,Basic,Mx4096x4096,8,1,bf16,8,4096,4096,0.0501,0.0017,5.3584,12.7502,42.03,672.4123,42.03
Ascend950PR_957b,Basic,Mx4096x4096,16,1,bf16,16,4096,4096,0.0505,0.0015,10.6390,25.4016,41.88,670.1328,41.88
Ascend950PR_957b,Basic,Mx4096x4096,32,1,bf16,32,4096,4096,0.0518,0.0021,20.7460,50.4123,41.15,658.4433,41.15
Ascend950PR_957b,Basic,Mx4096x4096,64,1,bf16,64,4096,4096,0.0528,0.0026,40.6828,99.2970,40.97,655.5338,40.97
Ascend950PR_957b,Basic,Mx4096x4096,128,1,bf16,128,4096,4096,0.0580,0.0020,74.0046,192.7529,38.39,614.2959,38.39
Ascend950PR_957b,Basic,Mx4096x4096,256,1,bf16,256,4096,4096,0.0635,0.0018,135.2884,364.0889,37.16,594.5291,37.16
Ascend950PR_957b,Basic,Mx4096x4096,1024,1,bf16,1024,4096,4096,0.1119,0.0021,306.9259,400.0000,76.73,449.5985,28.10
Ascend950PR_957b,Basic,Mx4096x4096,4096,1,bf16,4096,4096,4096,0.3854,0.0029,356.5726,400.0000,89.14,261.1616,16.32
Ascend950PR_957b,Basic,Mx4096x4096,4099,1,bf16,4099,4096,4096,0.3971,0.0027,346.3309,400.0000,86.58,253.5985,15.85
Ascend950PR_957b,Basic,Mx4096x4096,5000,1,bf16,5000,4096,4096,0.4746,0.0024,353.4691,400.0000,88.37,243.2861,15.21
Ascend950PR_957b,Basic,Mx4096x4096,8192,1,bf16,8192,4096,4096,0.7537,0.0022,364.7119,400.0000,91.18,222.6025,13.91
Ascend950PR_957b,Basic,Mx4096x4096,1,1,fp16,1,4096,4096,0.0513,0.0016,0.6544,1.5992,40.92,654.7209,40.92
Ascend950PR_957b,Basic,Mx4096x4096,2,1,fp16,2,4096,4096,0.0514,0.0019,1.3048,3.1969,40.82,653.0473,40.82
Ascend950PR_957b,Basic,Mx4096x4096,3,1,fp16,3,4096,4096,0.0500,0.0020,2.0124,4.7930,41.99,671.7828,41.99
Ascend950PR_957b,Basic,Mx4096x4096,4,1,fp16,4,4096,4096,0.0491,0.0016,2.7356,6.3875,42.83,685.2408,42.83
Ascend950PR_957b,Basic,Mx4096x4096,8,1,fp16,8,4096,4096,0.0497,0.0014,5.4004,12.7502,42.36,677.6881,42.36
Ascend950PR_957b,Basic,Mx4096x4096,16,1,fp16,16,4096,4096,0.0504,0.0017,10.6560,25.4016,41.95,671.2035,41.95
Ascend950PR_957b,Basic,Mx4096x4096,32,1,fp16,32,4096,4096,0.0525,0.0013,20.4579,50.4123,40.58,649.2978,40.58
