device,model,workload,batch_size,tp,dtype,M,N,K,median_time_ms,std_time_ms,tflops,theory_tflops,mfu_pct,bandwidth_gbps,mbu_pct
Ascend950PR_957b,HY-image-3.0,QKV,1,1,mxfp8,1,6144,4096,0.0437,0.0026,1.1505,3.1979,35.98,575.6328,35.98
Ascend950PR_957b,HY-image-3.0,Proj,1,1,mxfp8,1,4096,4096,0.0360,0.0023,0.9328,3.1977,29.17,466.7381,29.17
Ascend950PR_957b,HY-image-3.0,Moe_gate_up,1,1,mxfp8,1,6144,4096,0.0425,0.0022,1.1842,3.1979,37.03,592.4807,37.03
Ascend950PR_957b,HY-image-3.0,Moe_down,1,1,mxfp8,1,4096,3072,0.0323,0.0013,0.7800,3.1971,24.40,390.3295,24.40
Ascend950PR_957b,HY-image-3.0,QKV,2,1,mxfp8,2,6144,4096,0.0438,0.0014,2.2971,6.3917,35.94,575.0346,35.94
Ascend950PR_957b,HY-image-3.0,Proj,2,1,mxfp8,2,4096,4096,0.0361,0.0016,1.8569,6.3906,29.06,464.9149,29.06
Ascend950PR_957b,HY-image-3.0,Moe_gate_up,2,1,mxfp8,1,6144,4096,0.0435,0.0019,1.1583,3.1979,36.22,579.5408,36.22
Ascend950PR_957b,HY-image-3.0,Moe_down,2,1,mxfp8,1,4096,3072,0.0307,0.0014,0.8210,3.1971,25.68,410.8426,25.68
Ascend950PR_957b,HY-image-3.0,QKV,3,1,mxfp8,3,6144,4096,0.0428,0.0027,3.5275,9.5813,36.82,589.0593,36.82
Ascend950PR_957b,HY-image-3.0,Proj,3,1,mxfp8,3,4096,4096,0.0360,0.0017,2.7981,9.5790,29.21,467.3758,29.21
Ascend950PR_957b,HY-image-3.0,Moe_gate_up,3,1,mxfp8,1,6144,4096,0.0434,0.0013,1.1589,3.1979,36.24,579.8411,36.24
Ascend950PR_957b,HY-image-3.0,Moe_down,3,1,mxfp8,1,4096,3072,0.0312,0.0023,0.8079,3.1971,25.27,404.2944,25.27
Ascend950PR_957b,HY-image-3.0,QKV,4,1,mxfp8,4,6144,4096,0.0437,0.0016,4.6064,12.7668,36.08,577.3040,36.08
Ascend950PR_957b,HY-image-3.0,Proj,4,1,mxfp8,4,4096,4096,0.0360,0.0020,3.7309,12.7626,29.23,467.7304,29.23
Ascend950PR_957b,HY-image-3.0,Moe_gate_up,4,1,mxfp8,1,6144,4096,0.0425,0.0016,1.1830,3.1979,36.99,591.8889,36.99
