device,pattern,size_mb,dtype,median_time_ms,std_time_ms,bandwidth_gbps,peak_bandwidth_gbps,MBU,flush_l2_cache
Ascend950PR_957b,seq_copy,0.25,float32,0.0215,0.0013,24.3396,1600.0000,1.52,True
Ascend950PR_957b,seq_copy,0.5,float32,0.0164,0.0014,64.1252,1600.0000,4.01,True
Ascend950PR_957b,seq_copy,1.0,float32,0.0162,0.0008,129.6579,1600.0000,8.10,True
Ascend950PR_957b,seq_copy,2.0,float32,0.0164,0.0007,255.7191,1600.0000,15.98,True
Ascend950PR_957b,seq_copy,4.0,float32,0.0160,0.0008,524.9935,1600.0000,32.81,True
Ascend950PR_957b,seq_copy,11.2,float32,0.0221,0.0011,1061.2731,1600.0000,66.33,True
Ascend950PR_957b,seq_copy,28.0,float32,0.0627,0.0010,936.1315,1600.0000,58.51,True
Ascend950PR_957b,seq_copy,56.0,float32,0.1343,0.0009,874.3435,1600.0000,54.65,True
Ascend950PR_957b,seq_copy,84.0,float32,0.1842,0.0008,956.2132,1600.0000,59.76,True
Ascend950PR_957b,seq_copy,112.0,float32,0.2388,0.0012,983.7207,1600.0000,61.48,True
Ascend950PR_957b,seq_copy,168.0,float32,0.3324,0.0015,1059.9006,1600.0000,66.24,True
Ascend950PR_957b,seq_copy,224.0,float32,0.4292,0.0011,1094.4858,1600.0000,68.41,True
Ascend950PR_957b,seq_copy,256.0,float32,0.4789,0.0010,1121.1005,1600.0000,70.07,True
Ascend950PR_957b,seq_copy,448.0,float32,0.8108,0.0011,1158.7683,1600.0000,72.42,True
Ascend950PR_957b,seq_copy,512.0,float32,0.9199,0.0011,1167.2959,1600.0000,72.96,True
Ascend950PR_957b,seq_copy,1024.0,float32,1.7721,0.0030,1211.8158,1600.0000,75.74,True
Ascend950PR_957b,seq_copy,0.25,bfloat16,0.0217,0.0019,24.1546,1600.0000,1.51,True
Ascend950PR_957b,seq_copy,0.5,bfloat16,0.0162,0.0009,64.7209,1600.0000,4.05,True
Ascend950PR_957b,seq_copy,1.0,bfloat16,0.0164,0.0010,127.5446,1600.0000,7.97,True
Ascend950PR_957b,seq_copy,2.0,bfloat16,0.0165,0.0010,253.5012,1600.0000,15.84,True
Ascend950PR_957b,seq_copy,4.0,bfloat16,0.0165,0.0010,508.4621,1600.0000,31.78,True
Ascend950PR_957b,seq_copy,11.2,bfloat16,0.0220,0.0005,1069.1718,1600.0000,66.82,True
Ascend950PR_957b,seq_copy,28.0,bfloat16,0.0624,0.0010,941.0524,1600.0000,58.82,True
Ascend950PR_957b,seq_copy,56.0,bfloat16,0.1338,0.0010,877.6006,1600.0000,54.85,True
Ascend950PR_957b,seq_copy,84.0,bfloat16,0.1840,0.0009,957.2186,1600.0000,59.83,True
Ascend950PR_957b,seq_copy,112.0,bfloat16,0.2383,0.0009,985.6195,1600.0000,61.60,True
Ascend950PR_957b,seq_copy,168.0,bfloat16,0.3315,0.0015,1062.7331,1600.0000,66.42,True
Ascend950PR_957b,seq_copy,224.0,bfloat16,0.4295,0.0010,1093.7799,1600.0000,68.36,True
Ascend950PR_957b,seq_copy,256.0,bfloat16,0.4840,0.0008,1109.3222,1600.0000,69.33,True
Ascend950PR_957b,seq_copy,448.0,bfloat16,0.8120,0.0019,1157.0365,1600.0000,72.31,True
Ascend950PR_957b,seq_copy,512.0,bfloat16,0.9191,0.0018,1168.2243,1600.0000,73.01,True
Ascend950PR_957b,seq_copy,1024.0,bfloat16,1.7778,0.0017,1207.9244,1600.0000,75.50,True
Ascend950PR_957b,seq_write,0.25,float32,0.0160,0.0008,16.3907,1600.0000,1.02,True
Ascend950PR_957b,seq_write,0.5,float32,0.0159,0.0011,32.9223,1600.0000,2.06,True
Ascend950PR_957b,seq_write,1.0,float32,0.0158,0.0009,66.2022,1600.0000,4.14,True
Ascend950PR_957b,seq_write,2.0,float32,0.0162,0.0011,129.4019,1600.0000,8.09,True
Ascend950PR_957b,seq_write,4.0,float32,0.0162,0.0015,258.4052,1600.0000,16.15,True
Ascend950PR_957b,seq_write,11.2,float32,0.0162,0.0011,723.9135,1600.0000,45.24,True
Ascend950PR_957b,seq_write,28.0,float32,0.0238,0.0012,1232.1175,1600.0000,77.01,True
Ascend950PR_957b,seq_write,56.0,float32,0.0417,0.0009,1407.0124,1600.0000,87.94,True
Ascend950PR_957b,seq_write,84.0,float32,0.0673,0.0010,1309.6968,1600.0000,81.86,True
Ascend950PR_957b,seq_write,112.0,float32,0.0915,0.0010,1283.0962,1600.0000,80.19,True
Ascend950PR_957b,seq_write,168.0,float32,0.1385,0.0016,1271.6664,1600.0000,79.48,True
Ascend950PR_957b,seq_write,224.0,float32,0.1803,0.0007,1303.0414,1600.0000,81.44,True
Ascend950PR_957b,seq_write,256.0,float32,0.2062,0.0009,1301.6693,1600.0000,81.35,True
Ascend950PR_957b,seq_write,448.0,float32,0.3535,0.0012,1328.7832,1600.0000,83.05,True
Ascend950PR_957b,seq_write,512.0,float32,0.4045,0.0014,1327.3163,1600.0000,82.96,True
Ascend950PR_957b,seq_write,1024.0,float32,0.7989,0.0013,1344.0901,1600.0000,84.01,True
Ascend950PR_957b,seq_write,0.25,bfloat16,0.0161,0.0009,16.2409,1600.0000,1.02,True
Ascend950PR_957b,seq_write,0.5,bfloat16,0.0164,0.0015,31.9805,1600.0000,2.00,True
Ascend950PR_957b,seq_write,1.0,bfloat16,0.0172,0.0006,60.8646,1600.0000,3.80,True
Ascend950PR_957b,seq_write,2.0,bfloat16,0.0162,0.0009,129.6860,1600.0000,8.11,True
Ascend950PR_957b,seq_write,4.0,bfloat16,0.0167,0.0010,251.2838,1600.0000,15.71,True
Ascend950PR_957b,seq_write,11.2,bfloat16,0.0165,0.0007,711.9332,1600.0000,44.50,True
Ascend950PR_957b,seq_write,28.0,bfloat16,0.0246,0.0021,1192.0474,1600.0000,74.50,True
Ascend950PR_957b,seq_write,56.0,bfloat16,0.0419,0.0010,1399.8345,1600.0000,87.49,True
Ascend950PR_957b,seq_write,84.0,bfloat16,0.0676,0.0009,1302.8005,1600.0000,81.43,True
Ascend950PR_957b,seq_write,112.0,bfloat16,0.0913,0.0010,1286.6738,1600.0000,80.42,True
Ascend950PR_957b,seq_write,168.0,bfloat16,0.1387,0.0012,1269.6546,1600.0000,79.35,True
Ascend950PR_957b,seq_write,224.0,bfloat16,0.1804,0.0010,1301.8966,1600.0000,81.37,True
Ascend950PR_957b,seq_write,256.0,bfloat16,0.2065,0.0011,1300.0586,1600.0000,81.25,True
Ascend950PR_957b,seq_write,448.0,bfloat16,0.3539,0.0019,1327.3283,1600.0000,82.96,True
Ascend950PR_957b,seq_write,512.0,bfloat16,0.4053,0.0014,1324.4969,1600.0000,82.78,True
Ascend950PR_957b,seq_write,1024.0,bfloat16,0.7989,0.0012,1343.9631,1600.0000,84.00,True
Ascend950PR_957b,strided_copy,0.25,float32,0.0850,0.0030,6.1657,1600.0000,0.39,True
Ascend950PR_957b,strided_copy,0.5,float32,0.0886,0.0033,11.8392,1600.0000,0.74,True
Ascend950PR_957b,strided_copy,1.0,float32,0.0932,0.0024,22.5098,1600.0000,1.41,True
Ascend950PR_957b,strided_copy,2.0,float32,0.1031,0.0033,40.6632,1600.0000,2.54,True
Ascend950PR_957b,strided_copy,4.0,float32,0.1342,0.0028,62.5013,1600.0000,3.91,True
Ascend950PR_957b,strided_copy,11.2,float32,0.3237,0.0027,72.5712,1600.0000,4.54,True
Ascend950PR_957b,strided_copy,28.0,float32,0.9920,0.1453,59.1909,1600.0000,3.70,True
Ascend950PR_957b,strided_copy,56.0,float32,1.4182,0.0030,82.8124,1600.0000,5.18,True
Ascend950PR_957b,strided_copy,84.0,float32,11.3509,1.3337,15.5195,1600.0000,0.97,True
Ascend950PR_957b,strided_copy,112.0,float32,7.2942,0.2374,32.2009,1600.0000,2.01,True
Ascend950PR_957b,strided_copy,168.0,float32,25.6642,0.3562,13.7281,1600.0000,0.86,True
Ascend950PR_957b,strided_copy,224.0,float32,45.4788,0.5965,10.3292,1600.0000,0.65,True
Ascend950PR_957b,strided_copy,256.0,float32,58.8615,0.5642,9.1209,1600.0000,0.57,True
Ascend950PR_957b,strided_copy,448.0,float32,118.7439,0.8465,7.9122,1600.0000,0.49,True
Ascend950PR_957b,strided_copy,512.0,float32,133.0158,1.3916,8.0723,1600.0000,0.50,True
Ascend950PR_957b,strided_copy,1024.0,float32,280.8199,3.3991,7.6472,1600.0000,0.48,True
Ascend950PR_957b,strided_copy,0.25,bfloat16,0.0964,0.0031,5.4389,1600.0000,0.34,True
Ascend950PR_957b,strided_copy,0.5,bfloat16,0.1024,0.0042,10.2400,1600.0000,0.64,True
Ascend950PR_957b,strided_copy,1.0,bfloat16,0.1151,0.0027,18.2224,1600.0000,1.14,True
Ascend950PR_957b,strided_copy,2.0,bfloat16,0.1668,0.0019,25.1516,1600.0000,1.57,True
Ascend950PR_957b,strided_copy,4.0,bfloat16,0.2966,0.0016,28.2786,1600.0000,1.77,True
Ascend950PR_957b,strided_copy,11.2,bfloat16,0.8318,0.0023,28.2377,1600.0000,1.76,True
Ascend950PR_957b,strided_copy,28.0,bfloat16,2.0758,0.0025,28.2881,1600.0000,1.77,True
