device,operation,data_size_bytes,data_size_human,world_size,dtype,median_time_ms,std_time_ms,bus_bandwidth_gbps,algo_bandwidth_gbps
NVIDIA H20-3e,allreduce,4096,4KB,2,bfloat16,0.0348,0.0042,0.1176,0.1176
NVIDIA H20-3e,allreduce,8192,8KB,2,bfloat16,0.0337,0.0021,0.2430,0.2430
NVIDIA H20-3e,allreduce,16384,16KB,2,bfloat16,0.0340,0.0017,0.4823,0.4823
NVIDIA H20-3e,allreduce,32768,32KB,2,bfloat16,0.0345,0.0018,0.9499,0.9499
NVIDIA H20-3e,allreduce,65536,64KB,2,bfloat16,0.0390,0.0061,1.6814,1.6814
NVIDIA H20-3e,allreduce,131072,128KB,2,bfloat16,0.0351,0.0023,3.7321,3.7321
NVIDIA H20-3e,allreduce,262144,256KB,2,bfloat16,0.0347,0.0019,7.5502,7.5502
NVIDIA H20-3e,allreduce,524288,512KB,2,bfloat16,0.0346,0.0025,15.1563,15.1563
NVIDIA H20-3e,allreduce,1048576,1.0MB,2,bfloat16,0.0355,0.0022,29.5207,29.5207
NVIDIA H20-3e,allreduce,2097152,2.0MB,2,bfloat16,0.0471,0.2375,44.5369,44.5369
NVIDIA H20-3e,allreduce,4194304,4.0MB,2,bfloat16,0.0519,0.0007,80.8837,80.8837
NVIDIA H20-3e,allreduce,8388608,8.0MB,2,bfloat16,0.0654,0.0017,128.2505,128.2505
NVIDIA H20-3e,allreduce,16777216,16.0MB,2,bfloat16,0.0937,0.0015,179.1213,179.1213
NVIDIA H20-3e,allreduce,33554432,32.0MB,2,bfloat16,0.1572,0.0016,213.3854,213.3854
NVIDIA H20-3e,allreduce,67108864,64.0MB,2,bfloat16,0.2691,0.0017,249.4086,249.4086
NVIDIA H20-3e,allreduce,134217728,128.0MB,2,bfloat16,0.4820,0.0044,278.4508,278.4508
NVIDIA H20-3e,allreduce,268435456,256.0MB,2,bfloat16,0.8981,0.0034,298.8886,298.8886
NVIDIA H20-3e,allreduce,536870912,512.0MB,2,bfloat16,1.7163,0.0104,312.8122,312.8122
NVIDIA H20-3e,allgather,4096,4KB,2,bfloat16,0.0780,0.0045,0.0263,0.0525
NVIDIA H20-3e,allgather,8192,8KB,2,bfloat16,0.0771,0.0033,0.0531,0.1063
NVIDIA H20-3e,allgather,16384,16KB,2,bfloat16,0.0771,0.0026,0.1062,0.2124
NVIDIA H20-3e,allgather,32768,32KB,2,bfloat16,0.0779,0.0016,0.2103,0.4206
NVIDIA H20-3e,allgather,65536,64KB,2,bfloat16,0.0782,0.0050,0.4191,0.8381
NVIDIA H20-3e,allgather,131072,128KB,2,bfloat16,0.0778,0.0019,0.8423,1.6846
NVIDIA H20-3e,allgather,262144,256KB,2,bfloat16,0.0781,0.0013,1.6787,3.3574
NVIDIA H20-3e,allgather,524288,512KB,2,bfloat16,0.0788,0.0025,3.3281,6.6561
NVIDIA H20-3e,allgather,1048576,1.0MB,2,bfloat16,0.0799,0.0025,6.5628,13.1256
NVIDIA H20-3e,allgather,2097152,2.0MB,2,bfloat16,0.0792,0.0038,13.2342,26.4685
NVIDIA H20-3e,allgather,4194304,4.0MB,2,bfloat16,0.0889,0.0082,23.5911,47.1821
NVIDIA H20-3e,allgather,8388608,8.0MB,2,bfloat16,0.0790,0.0023,53.0978,106.1957
NVIDIA H20-3e,allgather,16777216,16.0MB,2,bfloat16,0.1005,0.0017,83.4854,166.9707
NVIDIA H20-3e,allgather,33554432,32.0MB,2,bfloat16,0.1464,0.0017,114.6361,229.2721
NVIDIA H20-3e,allgather,67108864,64.0MB,2,bfloat16,0.2279,0.0203,147.2512,294.5025
NVIDIA H20-3e,allgather,134217728,128.0MB,2,bfloat16,0.3881,0.0033,172.9325,345.8649
NVIDIA H20-3e,allgather,268435456,256.0MB,2,bfloat16,0.7006,0.0057,191.5863,383.1727
NVIDIA H20-3e,allgather,536870912,512.0MB,2,bfloat16,1.3262,0.0154,202.4083,404.8165
NVIDIA H20-3e,all2all,4096,4KB,2,bfloat16,0.0677,0.0031,0.0302,0.0605
NVIDIA H20-3e,all2all,8192,8KB,2,bfloat16,0.0669,0.0028,0.0612,0.1224
NVIDIA H20-3e,all2all,16384,16KB,2,bfloat16,0.0668,0.0024,0.1227,0.2454
NVIDIA H20-3e,all2all,32768,32KB,2,bfloat16,0.0671,0.0023,0.2441,0.4882
NVIDIA H20-3e,all2all,65536,64KB,2,bfloat16,0.0679,0.0064,0.4823,0.9647
NVIDIA H20-3e,all2all,131072,128KB,2,bfloat16,0.0666,0.0022,0.9837,1.9673
NVIDIA H20-3e,all2all,262144,256KB,2,bfloat16,0.0676,0.0044,1.9376,3.8751
NVIDIA H20-3e,all2all,524288,512KB,2,bfloat16,0.0677,0.0029,3.8733,7.7466
