device,model,workload,batch_size,tp,dtype,M,N,K,median_time_ms,std_time_ms,tflops,theory_tflops,mfu_pct,bandwidth_gbps,mbu_pct
NVIDIA H20-3e,Basic,Mx4096x4096,1,1,float32,1,4096,4096,0.0315,0.0018,1.0640,1.9990,53.23,2129.0472,53.23
NVIDIA H20-3e,Basic,Mx4096x4096,2,1,float32,2,4096,4096,0.0867,0.0009,0.7744,3.9961,19.38,775.1846,19.38
NVIDIA H20-3e,Basic,Mx4096x4096,3,1,float32,3,4096,4096,0.0876,0.0016,1.1495,5.9912,19.19,767.4855,19.19
NVIDIA H20-3e,Basic,Mx4096x4096,4,1,float32,4,4096,4096,0.0868,0.0008,1.5471,7.9844,19.38,775.0823,19.38
NVIDIA H20-3e,Basic,Mx4096x4096,8,1,float32,8,4096,4096,0.0876,0.0018,3.0660,15.9377,19.24,769.4970,19.24
NVIDIA H20-3e,Basic,Mx4096x4096,16,1,float32,16,4096,4096,0.0838,0.0025,6.4047,31.7519,20.17,806.8471,20.17
NVIDIA H20-3e,Basic,Mx4096x4096,32,1,float32,32,4096,4096,0.0781,0.0011,13.7490,40.0000,34.37,872.7392,21.82
NVIDIA H20-3e,Basic,Mx4096x4096,64,1,float32,64,4096,4096,0.1119,0.0016,19.1904,40.0000,47.98,618.4409,15.46
NVIDIA H20-3e,Basic,Mx4096x4096,128,1,float32,128,4096,4096,0.1845,0.0016,23.2815,40.0000,58.20,386.5089,9.66
NVIDIA H20-3e,Basic,Mx4096x4096,256,1,float32,256,4096,4096,0.3854,0.0028,22.2870,40.0000,55.72,195.8816,4.90
NVIDIA H20-3e,Basic,Mx4096x4096,1024,1,float32,1024,4096,4096,1.2176,0.0057,28.2185,40.0000,70.55,82.6714,2.07
NVIDIA H20-3e,Basic,Mx4096x4096,4096,1,float32,4096,4096,4096,4.5694,0.0119,30.0779,40.0000,75.19,44.0594,1.10
NVIDIA H20-3e,Basic,Mx4096x4096,4099,1,float32,4099,4096,4096,4.8435,0.0082,28.3969,40.0000,70.99,41.5869,1.04
NVIDIA H20-3e,Basic,Mx4096x4096,5000,1,float32,5000,4096,4096,5.8916,0.0160,28.4767,40.0000,71.19,39.2000,0.98
NVIDIA H20-3e,Basic,Mx4096x4096,8192,1,float32,8192,4096,4096,9.1571,0.0257,30.0180,40.0000,75.04,36.6431,0.92
NVIDIA H20-3e,Basic,Mx4096x4096,1,1,bfloat16,1,4096,4096,0.0234,0.0014,1.4325,3.9980,35.83,1433.1803,35.83
NVIDIA H20-3e,Basic,Mx4096x4096,2,1,bfloat16,2,4096,4096,0.0225,0.0006,2.9768,7.9922,37.25,1489.8509,37.25
NVIDIA H20-3e,Basic,Mx4096x4096,3,1,bfloat16,3,4096,4096,0.0225,0.0006,4.4779,11.9824,37.37,1494.8214,37.37
NVIDIA H20-3e,Basic,Mx4096x4096,4,1,bfloat16,4,4096,4096,0.0226,0.0005,5.9409,15.9688,37.20,1488.1359,37.20
NVIDIA H20-3e,Basic,Mx4096x4096,8,1,bfloat16,8,4096,4096,0.0211,0.0006,12.7293,31.8755,39.93,1597.3778,39.93
