device,model,workload,batch_size,tp,dtype,M,N,K,median_time_ms,std_time_ms,tflops,theory_tflops,mfu_pct,bandwidth_gbps,mbu_pct
NVIDIA H20-3e,DeepSeek-V3,QKV_Lora,1,1,bfloat16,1,7168,2048,0.0198,0.0039,1.4858,3.9975,37.17,1486.7692,37.17
NVIDIA H20-3e,DeepSeek-V3,QK_Lora_b,1,1,bfloat16,1,2624,2048,0.0192,0.0016,0.5607,3.9965,14.03,561.2087,14.03
NVIDIA H20-3e,DeepSeek-V3,V_Lora_b,1,1,bfloat16,1,21888,2048,0.0396,0.0013,2.2658,3.9979,56.68,2267.0118,56.68
NVIDIA H20-3e,DeepSeek-V3,Proj,1,1,bfloat16,1,2048,10944,0.0251,0.0013,1.7868,3.9977,44.70,1787.8112,44.70
NVIDIA H20-3e,DeepSeek-V3,Moe_gate_up,1,1,bfloat16,1,4096,7168,0.0348,0.0009,1.6850,3.9985,42.14,1685.6860,42.14
NVIDIA H20-3e,DeepSeek-V3,Moe_down,1,1,bfloat16,1,7168,2048,0.0193,0.0007,1.5241,3.9975,38.13,1525.0499,38.13
NVIDIA H20-3e,DeepSeek-V3,QKV_Lora,2,1,bfloat16,2,7168,2048,0.0188,0.0008,3.1208,7.9900,39.06,1562.3401,39.06
NVIDIA H20-3e,DeepSeek-V3,QK_Lora_b,2,1,bfloat16,2,2624,2048,0.0178,0.0012,1.2071,7.9861,15.11,604.5930,15.11
NVIDIA H20-3e,DeepSeek-V3,V_Lora_b,2,1,bfloat16,2,21888,2048,0.0380,0.0010,4.7146,7.9915,59.00,2359.8284,59.00
NVIDIA H20-3e,DeepSeek-V3,Proj,2,1,bfloat16,2,2048,10944,0.0246,0.0009,3.6433,7.9907,45.59,1823.7399,45.59
NVIDIA H20-3e,DeepSeek-V3,Moe_gate_up,2,1,bfloat16,1,4096,7168,0.0350,0.0012,1.6766,3.9985,41.93,1677.2152,41.93
NVIDIA H20-3e,DeepSeek-V3,Moe_down,2,1,bfloat16,1,7168,2048,0.0194,0.0007,1.5115,3.9975,37.81,1512.4877,37.81
NVIDIA H20-3e,DeepSeek-V3,QKV_Lora,3,1,bfloat16,3,7168,2048,0.0198,0.0010,4.4467,11.9774,37.13,1485.0274,37.13
NVIDIA H20-3e,DeepSeek-V3,QK_Lora_b,3,1,bfloat16,3,2624,2048,0.0182,0.0009,1.7755,11.9688,14.83,593.3886,14.83
NVIDIA H20-3e,DeepSeek-V3,V_Lora_b,3,1,bfloat16,3,21888,2048,0.0373,0.0010,7.2146,11.9808,60.22,2408.7142,60.22
NVIDIA H20-3e,DeepSeek-V3,Proj,3,1,bfloat16,3,2048,10944,0.0249,0.0007,5.4017,11.9792,45.09,1803.6864,45.09
NVIDIA H20-3e,DeepSeek-V3,Moe_gate_up,3,1,bfloat16,1,4096,7168,0.0350,0.0011,1.6758,3.9985,41.91,1676.4493,41.91
NVIDIA H20-3e,DeepSeek-V3,Moe_down,3,1,bfloat16,1,7168,2048,0.0191,0.0010,1.5343,3.9975,38.38,1535.2508,38.38
NVIDIA H20-3e,DeepSeek-V3,QKV_Lora,4,1,bfloat16,4,7168,2048,0.0189,0.0007,6.2046,15.9599,38.88,1555.0431,38.88
NVIDIA H20-3e,DeepSeek-V3,QK_Lora_b,4,1,bfloat16,4,2624,2048,0.0179,0.0011,2.4034,15.9446,15.07,602.9338,15.07
NVIDIA H20-3e,DeepSeek-V3,V_Lora_b,4,1,bfloat16,4,21888,2048,0.0381,0.0011,9.4174,15.9659,58.98,2359.3681,58.98
NVIDIA H20-3e,DeepSeek-V3,Proj,4,1,bfloat16,4,2048,10944,0.0253,0.0008,7.0749,15.9630,44.32,1772.8283,44.32
NVIDIA H20-3e,DeepSeek-V3,Moe_gate_up,4,1,bfloat16,1,4096,7168,0.0352,0.0009,1.6705,3.9985,41.78,1671.1079,41.78
NVIDIA H20-3e,DeepSeek-V3,Moe_down,4,1,bfloat16,1,7168,2048,0.0191,0.0007,1.5343,3.9975,38.38,1535.2508,38.38
NVIDIA H20-3e,DeepSeek-V3,QKV_Lora,8,1,bfloat16,8,7168,2048,0.0186,0.0006,12.6443,31.8401,39.71,1588.4789,39.71
NVIDIA H20-3e,DeepSeek-V3,QK_Lora_b,8,1,bfloat16,8,2624,2048,0.0182,0.0012,4.7348,31.7790,14.90,595.9612,14.90
NVIDIA H20-3e,DeepSeek-V3,V_Lora_b,8,1,bfloat16,8,21888,2048,0.0387,0.0007,18.5541,31.8639,58.23,2329.1656,58.23
NVIDIA H20-3e,DeepSeek-V3,Proj,8,1,bfloat16,8,2048,10944,0.0251,0.0009,14.2942,31.8523,44.88,1795.0612,44.88
NVIDIA H20-3e,DeepSeek-V3,Moe_gate_up,8,1,bfloat16,1,4096,7168,0.0353,0.0013,1.6629,3.9985,41.59,1663.5360,41.59
NVIDIA H20-3e,DeepSeek-V3,Moe_down,8,1,bfloat16,1,7168,2048,0.0195,0.0006,1.5078,3.9975,37.72,1508.7592,37.72
NVIDIA H20-3e,DeepSeek-V3,QKV_Lora,16,1,bfloat16,16,7168,2048,0.0196,0.0011,24.0066,63.3635,37.89,1515.4865,37.89
NVIDIA H20-3e,DeepSeek-V3,QK_Lora_b,16,1,bfloat16,16,2624,2048,0.0182,0.0018,9.4612,63.1220,14.99,599.5493,14.99
NVIDIA H20-3e,DeepSeek-V3,V_Lora_b,16,1,bfloat16,16,21888,2048,0.0389,0.0010,36.8943,63.4578,58.14,2325.5967,58.14
NVIDIA H20-3e,DeepSeek-V3,Proj,16,1,bfloat16,16,2048,10944,0.0268,0.0020,26.7302,63.4119,42.15,1686.1348,42.15
NVIDIA H20-3e,DeepSeek-V3,Moe_gate_up,16,1,bfloat16,2,4096,7168,0.0354,0.0012,3.3183,7.9939,41.51,1660.4123,41.51
NVIDIA H20-3e,DeepSeek-V3,Moe_down,16,1,bfloat16,2,7168,2048,0.0191,0.0009,3.0789,7.9900,38.53,1541.3691,38.53
NVIDIA H20-3e,DeepSeek-V3,QKV_Lora,32,1,bfloat16,32,7168,2048,0.0219,0.0010,42.8302,125.4792,34.13,1365.3333,34.13
NVIDIA H20-3e,DeepSeek-V3,QK_Lora_b,32,1,bfloat16,32,2624,2048,0.0190,0.0014,18.0637,124.5354,14.50,580.1950,14.50
NVIDIA H20-3e,DeepSeek-V3,V_Lora_b,32,1,bfloat16,32,21888,2048,0.0415,0.0012,69.1236,125.8496,54.93,2197.0208,54.93
NVIDIA H20-3e,DeepSeek-V3,Proj,32,1,bfloat16,32,2048,10944,0.0302,0.0010,47.5614,125.6690,37.85,1513.8631,37.85
NVIDIA H20-3e,DeepSeek-V3,Moe_gate_up,32,1,bfloat16,4,4096,7168,0.0347,0.0013,6.7775,15.9755,42.42,1696.9751,42.42
NVIDIA H20-3e,DeepSeek-V3,Moe_down,32,1,bfloat16,4,7168,2048,0.0191,0.0026,6.1577,15.9599,38.58,1543.3020,38.58
NVIDIA H20-3e,DeepSeek-V3,QKV_Lora,64,1,bfloat16,64,7168,2048,0.0292,0.0011,64.4216,147.0000,43.82,1047.0302,26.18
NVIDIA H20-3e,DeepSeek-V3,QK_Lora_b,64,1,bfloat16,64,2624,2048,0.0236,0.0008,29.0877,147.0000,19.79,479.7835,11.99
NVIDIA H20-3e,DeepSeek-V3,V_Lora_b,64,1,bfloat16,64,21888,2048,0.0592,0.0013,96.9748,147.0000,65.97,1567.0135,39.18
NVIDIA H20-3e,DeepSeek-V3,Proj,64,1,bfloat16,64,2048,10944,0.0432,0.0011,66.3607,147.0000,45.14,1075.3516,26.88
NVIDIA H20-3e,DeepSeek-V3,Moe_gate_up,64,1,bfloat16,8,4096,7168,0.0353,0.0011,13.3032,31.9021,41.70,1668.0019,41.70
NVIDIA H20-3e,DeepSeek-V3,Moe_down,64,1,bfloat16,8,7168,2048,0.0187,0.0011,12.5471,31.8401,39.41,1576.2598,39.41
NVIDIA H20-3e,DeepSeek-V3,QKV_Lora,128,1,bfloat16,128,7168,2048,0.0432,0.0025,87.0252,147.0000,59.20,734.5180,18.36
NVIDIA H20-3e,DeepSeek-V3,QK_Lora_b,128,1,bfloat16,128,2624,2048,0.0289,0.0014,47.5571,147.0000,32.35,412.8849,10.32
NVIDIA H20-3e,DeepSeek-V3,V_Lora_b,128,1,bfloat16,128,21888,2048,0.1013,0.0012,113.2343,147.0000,77.03,945.1064,23.63
NVIDIA H20-3e,DeepSeek-V3,Proj,128,1,bfloat16,128,2048,10944,0.0673,0.0013,85.2622,147.0000,58.00,715.5340,17.89
NVIDIA H20-3e,DeepSeek-V3,Moe_gate_up,128,1,bfloat16,16,4096,7168,0.0362,0.0009,25.9365,63.6095,40.77,1630.9823,40.77
NVIDIA H20-3e,DeepSeek-V3,Moe_down,128,1,bfloat16,16,7168,2048,0.0198,0.0007,23.7158,63.3635,37.43,1497.1244,37.43
NVIDIA H20-3e,DeepSeek-V3,QKV_Lora,256,1,bfloat16,256,7168,2048,0.0717,0.0009,104.7641,147.0000,71.27,475.0044,11.88
NVIDIA H20-3e,DeepSeek-V3,QK_Lora_b,256,1,bfloat16,256,2624,2048,0.0385,0.0009,71.3850,147.0000,48.56,340.9083,8.52
NVIDIA H20-3e,DeepSeek-V3,V_Lora_b,256,1,bfloat16,256,21888,2048,0.1880,0.0015,122.0914,147.0000,83.06,542.1125,13.55
NVIDIA H20-3e,DeepSeek-V3,Proj,256,1,bfloat16,256,2048,10944,0.1142,0.0016,100.4800,147.0000,68.35,450.7436,11.27
NVIDIA H20-3e,DeepSeek-V3,Moe_gate_up,256,1,bfloat16,32,4096,7168,0.0378,0.0010,49.7419,126.4476,39.34,1573.5163,39.34
NVIDIA H20-3e,DeepSeek-V3,Moe_down,256,1,bfloat16,32,7168,2048,0.0219,0.0007,42.8302,125.4792,34.13,1365.3334,34.13
NVIDIA H20-3e,DeepSeek-V3,QKV_Lora,1024,1,bfloat16,1024,7168,2048,0.2429,0.0019,123.7682,147.0000,84.20,198.5678,4.96
NVIDIA H20-3e,DeepSeek-V3,QK_Lora_b,1024,1,bfloat16,1024,2624,2048,0.0990,0.0013,111.1253,147.0000,75.60,205.1309,5.13
NVIDIA H20-3e,DeepSeek-V3,V_Lora_b,1024,1,bfloat16,1024,21888,2048,0.6861,0.0025,133.8077,147.0000,91.03,202.1207,5.05
NVIDIA H20-3e,DeepSeek-V3,Proj,1024,1,bfloat16,1024,2048,10944,0.3702,0.0031,124.0071,147.0000,84.36,192.9821,4.82
NVIDIA H20-3e,DeepSeek-V3,Moe_gate_up,1024,1,bfloat16,128,4096,7168,0.0795,0.0008,94.5957,147.0000,64.35,775.3202,19.38
