device,model,workload,batch_size,tp,dtype,M,N,K,median_time_ms,std_time_ms,tflops,theory_tflops,mfu_pct,bandwidth_gbps,mbu_pct
NVIDIA H20-3e,HY-image-3.0,QKV,1,1,bfloat16,1,6144,4096,0.0294,0.0027,1.7115,3.9984,42.80,1712.1915,42.80
NVIDIA H20-3e,HY-image-3.0,Proj,1,1,bfloat16,1,4096,4096,0.0238,0.0026,1.4103,3.9980,35.28,1411.0128,35.28
NVIDIA H20-3e,HY-image-3.0,Moe_gate_up,1,1,bfloat16,1,6144,4096,0.0304,0.0022,1.6539,3.9984,41.36,1654.5783,41.36
NVIDIA H20-3e,HY-image-3.0,Moe_down,1,1,bfloat16,1,4096,3072,0.0220,0.0010,1.1456,3.9977,28.66,1146.2199,28.66
NVIDIA H20-3e,HY-image-3.0,QKV,2,1,bfloat16,2,6144,4096,0.0298,0.0007,3.3825,7.9935,42.32,1692.6279,42.32
NVIDIA H20-3e,HY-image-3.0,Proj,2,1,bfloat16,2,4096,4096,0.0227,0.0007,2.9579,7.9922,37.01,1480.3950,37.01
NVIDIA H20-3e,HY-image-3.0,Moe_gate_up,2,1,bfloat16,1,6144,4096,0.0307,0.0008,1.6375,3.9984,40.96,1638.2135,40.96
NVIDIA H20-3e,HY-image-3.0,Moe_down,2,1,bfloat16,1,4096,3072,0.0212,0.0005,1.1844,3.9977,29.63,1185.0602,29.63
NVIDIA H20-3e,HY-image-3.0,QKV,3,1,bfloat16,3,6144,4096,0.0299,0.0007,5.0547,11.9854,42.17,1686.9673,42.17
NVIDIA H20-3e,HY-image-3.0,Proj,3,1,bfloat16,3,4096,4096,0.0226,0.0007,4.4557,11.9824,37.19,1487.4108,37.19
NVIDIA H20-3e,HY-image-3.0,Moe_gate_up,3,1,bfloat16,1,6144,4096,0.0306,0.0012,1.6427,3.9984,41.08,1643.3462,41.08
NVIDIA H20-3e,HY-image-3.0,Moe_down,3,1,bfloat16,1,4096,3072,0.0223,0.0017,1.1299,3.9977,28.26,1130.5747,28.26
NVIDIA H20-3e,HY-image-3.0,QKV,4,1,bfloat16,4,6144,4096,0.0311,0.0010,6.4794,15.9740,40.56,1622.4758,40.56
NVIDIA H20-3e,HY-image-3.0,Proj,4,1,bfloat16,4,4096,4096,0.0233,0.0009,5.7575,15.9688,36.05,1442.1744,36.05
NVIDIA H20-3e,HY-image-3.0,Moe_gate_up,4,1,bfloat16,1,6144,4096,0.0313,0.0017,1.6074,3.9984,40.20,1608.0777,40.20
NVIDIA H20-3e,HY-image-3.0,Moe_down,4,1,bfloat16,1,4096,3072,0.0224,0.0008,1.1227,3.9977,28.08,1123.3119,28.08
NVIDIA H20-3e,HY-image-3.0,QKV,8,1,bfloat16,8,6144,4096,0.0302,0.0009,13.3223,31.8962,41.77,1670.7083,41.77
NVIDIA H20-3e,HY-image-3.0,Proj,8,1,bfloat16,8,4096,4096,0.0210,0.0006,12.7583,31.8755,40.03,1601.0221,40.03
NVIDIA H20-3e,HY-image-3.0,Moe_gate_up,8,1,bfloat16,1,6144,4096,0.0301,0.0010,1.6724,3.9984,41.83,1673.0505,41.83
NVIDIA H20-3e,HY-image-3.0,Moe_down,8,1,bfloat16,1,4096,3072,0.0271,0.0037,0.9290,3.9977,23.24,929.5688,23.24
NVIDIA H20-3e,HY-image-3.0,QKV,16,1,bfloat16,16,6144,4096,0.0326,0.0008,24.7208,63.5860,38.88,1555.1120,38.88
NVIDIA H20-3e,HY-image-3.0,Proj,16,1,bfloat16,16,4096,4096,0.0217,0.0024,24.7817,63.5039,39.02,1560.9572,39.02
NVIDIA H20-3e,HY-image-3.0,Moe_gate_up,16,1,bfloat16,2,6144,4096,0.0305,0.0013,3.2991,7.9935,41.27,1650.9114,41.27
