device,pattern,size_mb,dtype,median_time_ms,std_time_ms,bandwidth_gbps,peak_bandwidth_gbps,utilization_pct,in_l2_cache
NVIDIA H20-3e,seq_copy,0.25,float32,0.0224,0.0028,23.3557,4000.0000,0.58,True
NVIDIA H20-3e,seq_copy,0.5,float32,0.0232,0.0028,45.1350,4000.0000,1.13,True
NVIDIA H20-3e,seq_copy,1.0,float32,0.0225,0.0025,93.3561,4000.0000,2.33,True
NVIDIA H20-3e,seq_copy,2.0,float32,0.0230,0.0021,182.6787,4000.0000,4.57,True
NVIDIA H20-3e,seq_copy,4.0,float32,0.0221,0.0020,378.8208,4000.0000,9.47,True
NVIDIA H20-3e,seq_copy,6.0,float32,0.0228,0.0013,551.4951,4000.0000,13.79,True
NVIDIA H20-3e,seq_copy,15.0,float32,0.0236,0.0025,1335.6522,4000.0000,33.39,True
NVIDIA H20-3e,seq_copy,30.0,float32,0.0325,0.0009,1937.0245,4000.0000,48.43,True
NVIDIA H20-3e,seq_copy,45.0,float32,0.0418,0.0022,2258.9965,4000.0000,56.47,True
NVIDIA H20-3e,seq_copy,60.0,float32,0.0490,0.0014,2570.0392,4000.0000,64.25,True
NVIDIA H20-3e,seq_copy,90.0,float32,0.0656,0.0027,2877.8922,4000.0000,71.95,False
NVIDIA H20-3e,seq_copy,120.0,float32,0.0801,0.0037,3140.7029,4000.0000,78.52,False
NVIDIA H20-3e,seq_copy,240.0,float32,0.1384,0.0017,3636.6799,4000.0000,90.92,False
NVIDIA H20-3e,seq_copy,256.0,float32,0.1450,0.0023,3703.1710,4000.0000,92.58,False
NVIDIA H20-3e,seq_copy,512.0,float32,0.2700,0.0027,3977.5287,4000.0000,99.44,False
NVIDIA H20-3e,seq_copy,1024.0,float32,0.5198,0.0045,4131.1745,4000.0000,103.28,False
NVIDIA H20-3e,seq_copy,0.25,bfloat16,0.0218,0.0023,24.0411,4000.0000,0.60,True
NVIDIA H20-3e,seq_copy,0.5,bfloat16,0.0232,0.0023,45.2284,4000.0000,1.13,True
NVIDIA H20-3e,seq_copy,1.0,bfloat16,0.0225,0.0028,93.3561,4000.0000,2.33,True
NVIDIA H20-3e,seq_copy,2.0,bfloat16,0.0228,0.0018,183.8317,4000.0000,4.60,True
NVIDIA H20-3e,seq_copy,4.0,bfloat16,0.0235,0.0022,357.6317,4000.0000,8.94,True
NVIDIA H20-3e,seq_copy,6.0,bfloat16,0.0225,0.0021,560.1368,4000.0000,14.00,True
NVIDIA H20-3e,seq_copy,15.0,bfloat16,0.0240,0.0014,1310.7200,4000.0000,32.77,True
NVIDIA H20-3e,seq_copy,30.0,bfloat16,0.0336,0.0013,1872.4572,4000.0000,46.81,True
NVIDIA H20-3e,seq_copy,45.0,bfloat16,0.0427,0.0010,2209.9063,4000.0000,55.25,True
NVIDIA H20-3e,seq_copy,60.0,bfloat16,0.0502,0.0019,2506.9557,4000.0000,62.67,True
NVIDIA H20-3e,seq_copy,90.0,bfloat16,0.0672,0.0023,2808.0172,4000.0000,70.20,False
NVIDIA H20-3e,seq_copy,120.0,bfloat16,0.0826,0.0026,3046.4148,4000.0000,76.16,False
NVIDIA H20-3e,seq_copy,240.0,bfloat16,0.1447,0.0037,3479.4027,4000.0000,86.99,False
NVIDIA H20-3e,seq_copy,256.0,bfloat16,0.1518,0.0021,3536.1400,4000.0000,88.40,False
NVIDIA H20-3e,seq_copy,512.0,bfloat16,0.2822,0.0029,3804.5731,4000.0000,95.11,False
NVIDIA H20-3e,seq_copy,1024.0,bfloat16,0.5436,0.0029,3950.1362,4000.0000,98.75,False
NVIDIA H20-3e,seq_write,0.25,float32,0.0215,0.0027,12.2177,4000.0000,0.31,True
NVIDIA H20-3e,seq_write,0.5,float32,0.0209,0.0024,25.1096,4000.0000,0.63,True
NVIDIA H20-3e,seq_write,1.0,float32,0.0205,0.0017,51.1600,4000.0000,1.28,True
NVIDIA H20-3e,seq_write,2.0,float32,0.0203,0.0028,103.2876,4000.0000,2.58,True
NVIDIA H20-3e,seq_write,4.0,float32,0.0204,0.0020,206.0880,4000.0000,5.15,True
NVIDIA H20-3e,seq_write,6.0,float32,0.0212,0.0016,296.7668,4000.0000,7.42,True
NVIDIA H20-3e,seq_write,15.0,float32,0.0218,0.0022,720.1758,4000.0000,18.00,True
NVIDIA H20-3e,seq_write,30.0,float32,0.0242,0.0013,1297.7426,4000.0000,32.44,True
NVIDIA H20-3e,seq_write,45.0,float32,0.0276,0.0013,1710.6265,4000.0000,42.77,True
NVIDIA H20-3e,seq_write,60.0,float32,0.0307,0.0010,2052.2755,4000.0000,51.31,True
NVIDIA H20-3e,seq_write,90.0,float32,0.0385,0.0021,2450.4529,4000.0000,61.26,False
NVIDIA H20-3e,seq_write,120.0,float32,0.0457,0.0019,2753.6135,4000.0000,68.84,False
