device,pattern,size_mb,dtype,median_time_ms,std_time_ms,bandwidth_gbps,peak_bandwidth_gbps,utilization_pct,flush_l2_cache
NVIDIA H20-3e,seq_copy,0.25,float32,0.0222,0.0037,23.6592,4000.0000,0.59,False
NVIDIA H20-3e,seq_copy,0.5,float32,0.0206,0.0023,50.8031,4000.0000,1.27,False
NVIDIA H20-3e,seq_copy,1.0,float32,0.0204,0.0017,102.8823,4000.0000,2.57,False
NVIDIA H20-3e,seq_copy,2.0,float32,0.0207,0.0018,202.2716,4000.0000,5.06,False
NVIDIA H20-3e,seq_copy,4.0,float32,0.0206,0.0009,406.7401,4000.0000,10.17,False
NVIDIA H20-3e,seq_copy,6.0,float32,0.0205,0.0017,612.4860,4000.0000,15.31,False
NVIDIA H20-3e,seq_copy,15.0,float32,0.0214,0.0015,1468.3197,4000.0000,36.71,False
NVIDIA H20-3e,seq_copy,30.0,float32,0.0312,0.0016,2014.4262,4000.0000,50.36,False
NVIDIA H20-3e,seq_copy,45.0,float32,0.0400,0.0010,2360.2402,4000.0000,59.01,False
NVIDIA H20-3e,seq_copy,60.0,float32,0.0470,0.0023,2676.7597,4000.0000,66.92,False
NVIDIA H20-3e,seq_copy,90.0,float32,0.0621,0.0010,3040.3299,4000.0000,76.01,False
NVIDIA H20-3e,seq_copy,120.0,float32,0.0763,0.0018,3298.7920,4000.0000,82.47,False
NVIDIA H20-3e,seq_copy,240.0,float32,0.1342,0.0015,3749.3778,4000.0000,93.73,False
NVIDIA H20-3e,seq_copy,256.0,float32,0.1421,0.0015,3777.8013,4000.0000,94.45,False
NVIDIA H20-3e,seq_copy,512.0,float32,0.2668,0.0018,4024.0368,4000.0000,100.60,False
NVIDIA H20-3e,seq_copy,1024.0,float32,0.5163,0.0021,4159.4686,4000.0000,103.99,False
NVIDIA H20-3e,seq_copy,0.25,bfloat16,0.0204,0.0020,25.7206,4000.0000,0.64,False
NVIDIA H20-3e,seq_copy,0.5,bfloat16,0.0203,0.0008,51.6031,4000.0000,1.29,False
NVIDIA H20-3e,seq_copy,1.0,bfloat16,0.0198,0.0009,105.7885,4000.0000,2.64,False
NVIDIA H20-3e,seq_copy,2.0,bfloat16,0.0198,0.0016,212.2624,4000.0000,5.31,False
NVIDIA H20-3e,seq_copy,4.0,bfloat16,0.0201,0.0005,418.0925,4000.0000,10.45,False
NVIDIA H20-3e,seq_copy,6.0,bfloat16,0.0200,0.0017,628.6427,4000.0000,15.72,False
NVIDIA H20-3e,seq_copy,15.0,bfloat16,0.0213,0.0006,1478.2556,4000.0000,36.96,False
NVIDIA H20-3e,seq_copy,30.0,bfloat16,0.0328,0.0014,1917.1916,4000.0000,47.93,False
NVIDIA H20-3e,seq_copy,45.0,bfloat16,0.0405,0.0006,2329.4787,4000.0000,58.24,False
NVIDIA H20-3e,seq_copy,60.0,bfloat16,0.0491,0.0007,2565.0097,4000.0000,64.13,False
NVIDIA H20-3e,seq_copy,90.0,bfloat16,0.0638,0.0010,2957.9939,4000.0000,73.95,False
NVIDIA H20-3e,seq_copy,120.0,bfloat16,0.0842,0.0017,2988.5312,4000.0000,74.71,False
NVIDIA H20-3e,seq_copy,240.0,bfloat16,0.1483,0.0039,3394.9148,4000.0000,84.87,False
NVIDIA H20-3e,seq_copy,256.0,bfloat16,0.1514,0.0019,3546.9802,4000.0000,88.67,False
NVIDIA H20-3e,seq_copy,512.0,bfloat16,0.2873,0.0024,3736.7817,4000.0000,93.42,False
NVIDIA H20-3e,seq_copy,1024.0,bfloat16,0.5558,0.0019,3863.8261,4000.0000,96.60,False
NVIDIA H20-3e,seq_write,0.25,float32,0.0195,0.0018,13.4737,4000.0000,0.34,False
NVIDIA H20-3e,seq_write,0.5,float32,0.0195,0.0008,26.9252,4000.0000,0.67,False
NVIDIA H20-3e,seq_write,1.0,float32,0.0193,0.0006,54.3416,4000.0000,1.36,False
NVIDIA H20-3e,seq_write,2.0,float32,0.0191,0.0007,110.0521,4000.0000,2.75,False
NVIDIA H20-3e,seq_write,4.0,float32,0.0190,0.0008,221.0320,4000.0000,5.53,False
NVIDIA H20-3e,seq_write,6.0,float32,0.0195,0.0007,323.1027,4000.0000,8.08,False
NVIDIA H20-3e,seq_write,15.0,float32,0.0198,0.0005,794.0549,4000.0000,19.85,False
NVIDIA H20-3e,seq_write,30.0,float32,0.0225,0.0010,1395.3726,4000.0000,34.88,False
NVIDIA H20-3e,seq_write,45.0,float32,0.0264,0.0014,1789.5145,4000.0000,44.74,False
NVIDIA H20-3e,seq_write,60.0,float32,0.0292,0.0005,2151.0722,4000.0000,53.78,False
NVIDIA H20-3e,seq_write,90.0,float32,0.0359,0.0006,2626.1087,4000.0000,65.65,False
NVIDIA H20-3e,seq_write,120.0,float32,0.0432,0.0007,2911.6326,4000.0000,72.79,False
NVIDIA H20-3e,seq_write,240.0,float32,0.0708,0.0027,3553.6917,4000.0000,88.84,False
NVIDIA H20-3e,seq_write,256.0,float32,0.0743,0.0008,3613.4431,4000.0000,90.34,False
NVIDIA H20-3e,seq_write,512.0,float32,0.1326,0.0009,4049.5333,4000.0000,101.24,False
NVIDIA H20-3e,seq_write,1024.0,float32,0.2491,0.0015,4309.8622,4000.0000,107.75,False
NVIDIA H20-3e,seq_write,0.25,bfloat16,0.0197,0.0015,13.3203,4000.0000,0.33,False
NVIDIA H20-3e,seq_write,0.5,bfloat16,0.0190,0.0009,27.5361,4000.0000,0.69,False
NVIDIA H20-3e,seq_write,1.0,bfloat16,0.0192,0.0006,54.7045,4000.0000,1.37,False
NVIDIA H20-3e,seq_write,2.0,bfloat16,0.0189,0.0006,110.7963,4000.0000,2.77,False
NVIDIA H20-3e,seq_write,4.0,bfloat16,0.0191,0.0005,219.5511,4000.0000,5.49,False
NVIDIA H20-3e,seq_write,6.0,bfloat16,0.0193,0.0005,325.2407,4000.0000,8.13,False
NVIDIA H20-3e,seq_write,15.0,bfloat16,0.0202,0.0006,778.9541,4000.0000,19.47,False
NVIDIA H20-3e,seq_write,30.0,bfloat16,0.0247,0.0006,1271.7206,4000.0000,31.79,False
NVIDIA H20-3e,seq_write,45.0,bfloat16,0.0292,0.0004,1616.8421,4000.0000,40.42,False
NVIDIA H20-3e,seq_write,60.0,bfloat16,0.0340,0.0007,1851.2993,4000.0000,46.28,False
NVIDIA H20-3e,seq_write,90.0,bfloat16,0.0436,0.0004,2163.6977,4000.0000,54.09,False
NVIDIA H20-3e,seq_write,120.0,bfloat16,0.0526,0.0006,2390.3709,4000.0000,59.76,False
NVIDIA H20-3e,seq_write,240.0,bfloat16,0.0895,0.0006,2812.7038,4000.0000,70.32,False
NVIDIA H20-3e,seq_write,256.0,bfloat16,0.0944,0.0005,2843.5958,4000.0000,71.09,False
NVIDIA H20-3e,seq_write,512.0,bfloat16,0.1735,0.0013,3093.7149,4000.0000,77.34,False
NVIDIA H20-3e,seq_write,1024.0,bfloat16,0.3356,0.0021,3199.6216,4000.0000,79.99,False
NVIDIA H20-3e,strided_copy,0.25,float32,0.0229,0.0020,22.8667,4000.0000,0.57,False
NVIDIA H20-3e,strided_copy,0.5,float32,0.0230,0.0007,45.5744,4000.0000,1.14,False
