device,model,workload,batch_size,tp,dtype,M,N,K,median_time_ms,std_time_ms,tflops,theory_tflops,mfu_pct,bandwidth_gbps,mbu_pct
NVIDIA L20,Basic,QKV,1,1,float32,1,4096,4096,0.0358,0.0026,0.9375,0.4318,217.12,1875.8837,217.12
NVIDIA L20,Basic,QKV,2,1,float32,2,4096,4096,0.0410,0.0014,1.6384,0.8632,189.81,1640.0000,189.81
NVIDIA L20,Basic,QKV,3,1,float32,3,4096,4096,0.0410,0.0013,2.4576,1.2941,189.91,1640.8000,189.91
NVIDIA L20,Basic,QKV,4,1,float32,4,4096,4096,0.0563,0.0014,2.3831,1.7246,138.18,1193.8909,138.18
NVIDIA L20,Basic,QKV,8,1,float32,8,4096,4096,0.0568,0.0014,4.7233,3.4426,137.20,1185.4414,137.20
NVIDIA L20,Basic,QKV,16,1,float32,16,4096,4096,0.0568,0.0018,9.4599,6.8584,137.93,1191.7316,137.93
NVIDIA L20,Basic,QKV,32,1,float32,32,4096,4096,0.0829,0.0013,12.9454,13.6113,95.11,821.7284,95.11
NVIDIA L20,Basic,QKV,64,1,float32,64,4096,4096,0.0906,0.0033,23.6966,26.8102,88.39,763.6610,88.39
NVIDIA L20,Basic,QKV,128,1,float32,128,4096,4096,0.1608,0.0039,26.7153,52.0433,51.33,443.5159,51.33
NVIDIA L20,Basic,QKV,256,1,float32,256,4096,4096,0.2499,0.0029,34.3795,59.8000,57.49,302.1639,34.97
NVIDIA L20,Basic,QKV,1024,1,float32,1024,4096,4096,0.8433,0.0065,40.7461,59.8000,68.14,119.3734,13.82
NVIDIA L20,Basic,QKV,4096,1,float32,4096,4096,4096,3.4883,0.0412,39.4005,59.8000,65.89,57.7155,6.68
NVIDIA L20,Basic,QKV,4099,1,float32,4099,4096,4096,3.6311,0.0195,37.8782,59.8000,63.34,55.4721,6.42
NVIDIA L20,Basic,QKV,5000,1,float32,5000,4096,4096,4.3556,0.0138,38.5189,59.8000,64.41,53.0236,6.14
NVIDIA L20,Basic,QKV,8192,1,float32,8192,4096,4096,7.2760,0.0159,37.7785,59.8000,63.17,46.1164,5.34
NVIDIA L20,Basic,QKV,1,1,bfloat16,1,4096,4096,0.0439,0.0012,0.7645,0.8636,88.53,764.9202,88.53
NVIDIA L20,Basic,QKV,2,1,bfloat16,2,4096,4096,0.0328,0.0049,2.0480,1.7263,118.63,1025.0000,118.63
NVIDIA L20,Basic,QKV,3,1,bfloat16,3,4096,4096,0.0338,0.0012,2.9803,2.5882,115.15,994.8953,115.15
NVIDIA L20,Basic,QKV,4,1,bfloat16,4,4096,4096,0.0338,0.0012,3.9719,3.4493,115.15,994.9091,115.15
NVIDIA L20,Basic,QKV,8,1,bfloat16,8,4096,4096,0.0646,0.0012,4.1538,6.8851,60.33,521.2538,60.33
NVIDIA L20,Basic,QKV,16,1,bfloat16,16,4096,4096,0.0645,0.0035,8.3262,13.7168,60.70,524.4506,60.70
NVIDIA L20,Basic,QKV,32,1,bfloat16,32,4096,4096,0.0389,0.0007,27.5941,27.2226,101.36,875.7895,101.36
NVIDIA L20,Basic,QKV,64,1,bfloat16,64,4096,4096,0.0389,0.0028,55.1882,53.6204,102.92,889.2632,102.92
NVIDIA L20,Basic,QKV,128,1,bfloat16,128,4096,4096,0.0568,0.0018,75.6582,104.0866,72.69,628.0225,72.69
NVIDIA L20,Basic,QKV,256,1,bfloat16,256,4096,4096,0.0942,0.0023,91.1805,119.5000,76.30,400.6956,46.38
NVIDIA L20,Basic,QKV,1024,1,bfloat16,1024,4096,4096,0.3277,0.0053,104.8474,119.5000,87.74,153.5850,17.78
NVIDIA L20,Basic,QKV,4096,1,bfloat16,4096,4096,4096,1.2462,0.0071,110.2886,119.5000,92.29,80.7778,9.35
NVIDIA L20,Basic,QKV,4099,1,bfloat16,4099,4096,4096,1.2432,0.0056,110.6335,119.5000,92.58,81.0107,9.38
NVIDIA L20,Basic,QKV,5000,1,bfloat16,5000,4096,4096,1.5017,0.0062,111.7218,119.5000,93.49,76.8960,8.90
NVIDIA L20,Basic,QKV,8192,1,bfloat16,8192,4096,4096,2.4254,0.0068,113.3326,119.5000,94.84,69.1728,8.01
NVIDIA L20,Basic,QKV,1,1,float16,1,4096,4096,0.0435,0.0026,0.7710,0.8636,89.28,771.3882,89.28
NVIDIA L20,Basic,QKV,2,1,float16,2,4096,4096,0.0297,0.0016,2.2599,1.7263,130.91,1131.0345,130.91
NVIDIA L20,Basic,QKV,3,1,float16,3,4096,4096,0.0307,0.0008,3.2785,2.5882,126.67,1094.4367,126.67
NVIDIA L20,Basic,QKV,4,1,float16,4,4096,4096,0.0307,0.0013,4.3691,3.4493,126.67,1094.4000,126.67
NVIDIA L20,Basic,QKV,8,1,float16,8,4096,4096,0.0636,0.0015,4.2239,6.8851,61.35,530.0463,61.35
NVIDIA L20,Basic,QKV,16,1,float16,16,4096,4096,0.0645,0.0010,8.3220,13.7168,60.67,524.1905,60.67
NVIDIA L20,Basic,QKV,32,1,float16,32,4096,4096,0.0333,0.0042,32.2639,27.2226,118.52,1024.0000,118.52
NVIDIA L20,Basic,QKV,64,1,float16,64,4096,4096,0.0400,0.0015,53.6871,53.6204,100.12,865.0752,100.12
NVIDIA L20,Basic,QKV,128,1,float16,128,4096,4096,0.0574,0.0038,74.7731,104.0866,71.84,620.6752,71.84
NVIDIA L20,Basic,QKV,256,1,float16,256,4096,4096,0.0993,0.0021,86.5084,119.5000,72.39,380.1637,44.00
NVIDIA L20,Basic,QKV,1024,1,float16,1024,4096,4096,0.3354,0.0051,102.4563,119.5000,85.74,150.0824,17.37
NVIDIA L20,Basic,QKV,4096,1,float16,4096,4096,4096,1.2344,0.0054,111.3421,119.5000,93.17,81.5494,9.44
NVIDIA L20,Basic,QKV,4099,1,float16,4099,4096,4096,1.2405,0.0061,110.8704,119.5000,92.78,81.1841,9.40
NVIDIA L20,Basic,QKV,5000,1,float16,5000,4096,4096,1.5242,0.0065,110.0705,119.5000,92.11,75.7595,8.77
NVIDIA L20,Basic,QKV,8192,1,float16,8192,4096,4096,2.4177,0.0085,113.6957,119.5000,95.14,69.3943,8.03
NVIDIA L20,Basic,QKV,32,1,int8,32,4096,4096,0.1188,0.0021,9.0394,54.0297,16.73,144.5517,16.73
NVIDIA L20,Basic,QKV,64,1,int8,64,4096,4096,0.1182,0.0019,18.1719,105.6401,17.20,148.6228,17.20
NVIDIA L20,Basic,QKV,128,1,int8,128,4096,4096,0.1183,0.0036,36.3045,202.2254,17.95,155.1095,17.95
NVIDIA L20,Basic,QKV,256,1,int8,256,4096,4096,0.1198,0.0011,71.6975,239.0000,30.00,166.2906,19.25
NVIDIA L20,Basic,QKV,1024,1,int8,1024,4096,4096,0.3349,0.0019,102.6031,239.0000,42.93,87.6736,10.15
