device,model,workload,batch_size,tp,dtype,M,N,K,median_time_ms,std_time_ms,tflops,theory_tflops,mfu_pct,bandwidth_gbps,mbu_pct
NVIDIA L20,HY-image-3.0,QKV,1,1,bfloat16,1,6144,4096,0.0446,0.0022,1.1283,0.8636,130.64,1128.7690,130.64
NVIDIA L20,HY-image-3.0,Proj,1,1,bfloat16,1,4096,4096,0.0435,0.0007,0.7710,0.8636,89.28,771.3882,89.28
NVIDIA L20,HY-image-3.0,Moe_gate_up,1,1,bfloat16,1,6144,4096,0.0439,0.0008,1.1472,0.8636,132.84,1147.7054,132.84
NVIDIA L20,HY-image-3.0,Moe_down,1,1,bfloat16,1,4096,3072,0.0348,0.0009,0.7228,0.8635,83.71,723.2353,83.71
NVIDIA L20,HY-image-3.0,QKV,2,1,bfloat16,2,6144,4096,0.0676,0.0012,1.4895,1.7266,86.27,745.3333,86.27
NVIDIA L20,HY-image-3.0,Proj,2,1,bfloat16,2,4096,4096,0.0343,0.0058,1.9563,1.7263,113.32,979.1045,113.32
NVIDIA L20,HY-image-3.0,Moe_gate_up,2,1,bfloat16,1,6144,4096,0.0440,0.0018,1.1431,0.8636,132.35,1143.5349,132.35
NVIDIA L20,HY-image-3.0,Moe_down,2,1,bfloat16,1,4096,3072,0.0456,0.0068,0.5523,0.8635,63.96,552.5843,63.96
NVIDIA L20,HY-image-3.0,QKV,3,1,bfloat16,3,6144,4096,0.0701,0.0035,2.1531,2.5888,83.17,718.5873,83.17
NVIDIA L20,HY-image-3.0,Proj,3,1,bfloat16,3,4096,4096,0.0461,0.0069,2.1830,2.5882,84.34,728.7384,84.34
NVIDIA L20,HY-image-3.0,Moe_gate_up,3,1,bfloat16,1,6144,4096,0.0465,0.0047,1.0821,0.8636,125.30,1082.5621,125.30
NVIDIA L20,HY-image-3.0,Moe_down,3,1,bfloat16,1,4096,3072,0.0410,0.0045,0.6144,0.8635,71.15,614.7500,71.15
NVIDIA L20,HY-image-3.0,QKV,4,1,bfloat16,4,6144,4096,0.0748,0.0049,2.6921,3.4504,78.02,674.1224,78.02
NVIDIA L20,HY-image-3.0,Proj,4,1,bfloat16,4,4096,4096,0.0409,0.0031,3.2819,3.4493,95.15,822.0845,95.15
NVIDIA L20,HY-image-3.0,Moe_gate_up,4,1,bfloat16,1,6144,4096,0.0455,0.0060,1.1061,0.8636,128.07,1106.5429,128.07
NVIDIA L20,HY-image-3.0,Moe_down,4,1,bfloat16,1,4096,3072,0.0389,0.0048,0.6467,0.8635,74.90,647.1053,74.90
NVIDIA L20,HY-image-3.0,QKV,8,1,bfloat16,8,6144,4096,0.0742,0.0043,5.4237,6.8896,78.72,680.1655,78.72
NVIDIA L20,HY-image-3.0,Proj,8,1,bfloat16,8,4096,4096,0.0654,0.0038,4.1040,6.8851,59.61,515.0059,59.61
NVIDIA L20,HY-image-3.0,Moe_gate_up,8,1,bfloat16,1,6144,4096,0.0492,0.0031,1.0240,0.8636,118.57,1024.4166,118.57
NVIDIA L20,HY-image-3.0,Moe_down,8,1,bfloat16,1,4096,3072,0.0353,0.0066,0.7123,0.8635,82.49,712.7536,82.49
NVIDIA L20,HY-image-3.0,QKV,16,1,bfloat16,16,6144,4096,0.0686,0.0032,11.7433,13.7346,85.50,738.7326,85.50
NVIDIA L20,HY-image-3.0,Proj,16,1,bfloat16,16,4096,4096,0.0655,0.0068,8.1940,13.7168,59.74,516.1260,59.74
NVIDIA L20,HY-image-3.0,Moe_gate_up,16,1,bfloat16,2,6144,4096,0.0727,0.0041,1.3846,1.7266,80.19,692.8450,80.19
NVIDIA L20,HY-image-3.0,Moe_down,16,1,bfloat16,2,4096,3072,0.0302,0.0027,1.6662,1.7260,96.53,834.0339,96.53
NVIDIA L20,HY-image-3.0,QKV,32,1,bfloat16,32,6144,4096,0.0471,0.0020,34.1927,27.2926,125.28,1082.4348,125.28
NVIDIA L20,HY-image-3.0,Proj,32,1,bfloat16,32,4096,4096,0.0389,0.0017,27.5941,27.2226,101.36,875.7895,101.36
NVIDIA L20,HY-image-3.0,Moe_gate_up,32,1,bfloat16,4,6144,4096,0.0696,0.0028,2.8913,3.4504,83.80,724.0000,83.80
NVIDIA L20,HY-image-3.0,Moe_down,32,1,bfloat16,4,4096,3072,0.0287,0.0066,3.5109,3.4481,101.82,879.7143,101.82
NVIDIA L20,HY-image-3.0,QKV,64,1,bfloat16,64,6144,4096,0.0486,0.0115,66.2259,53.8925,122.88,1061.7263,122.88
NVIDIA L20,HY-image-3.0,Proj,64,1,bfloat16,64,4096,4096,0.0456,0.0043,47.1270,53.6204,87.89,759.3708,87.89
NVIDIA L20,HY-image-3.0,Moe_gate_up,64,1,bfloat16,8,6144,4096,0.0784,0.0046,5.1348,6.8896,74.53,643.9437,74.53
NVIDIA L20,HY-image-3.0,Moe_down,64,1,bfloat16,8,4096,3072,0.0348,0.0032,5.7932,6.8806,84.20,727.4549,84.20
NVIDIA L20,HY-image-3.0,QKV,128,1,bfloat16,128,6144,4096,0.0859,0.0083,75.0099,105.1171,71.36,616.5365,71.36
NVIDIA L20,HY-image-3.0,Proj,128,1,bfloat16,128,4096,4096,0.0599,0.0051,71.6975,104.0866,68.88,595.1453,68.88
NVIDIA L20,HY-image-3.0,Moe_gate_up,128,1,bfloat16,16,6144,4096,0.0701,0.0032,11.4808,13.7346,83.59,722.2190,83.59
NVIDIA L20,HY-image-3.0,Moe_down,128,1,bfloat16,16,4096,3072,0.0317,0.0023,12.7164,13.6991,92.83,802.0212,92.83
NVIDIA L20,HY-image-3.0,QKV,256,1,bfloat16,256,6144,4096,0.1439,0.0044,89.5282,119.5000,74.92,386.1488,44.69
NVIDIA L20,HY-image-3.0,Proj,256,1,bfloat16,256,4096,4096,0.1029,0.0045,83.4947,119.5000,69.87,366.9201,42.47
