device,model,workload,category,description,batch_size,tp,dtype,M,N,K,median_time_ms,std_time_ms,tflops,theory_tflops,mfu_pct,bandwidth_gbps,mbu_pct
NVIDIA L20,DeepSeek-V3,QKV_Proj,attention,"Fused QKV projection (128 q_head, 128 kv_head)",1,1,bfloat16,1,49152,7168,1.0357,0.0087,0.6803,0.8639,78.76,680.4553,78.76
NVIDIA L20,DeepSeek-V3,O_Proj,attention,Attention output projection,1,1,bfloat16,1,7168,7168,0.0768,0.0022,1.3386,0.8638,154.97,1338.9578,154.97
NVIDIA L20,DeepSeek-V3,MoE_Gate_Up,moe,"MoE expert gate+up (top8/256, ~1 tokens/expert)",1,1,bfloat16,1,4096,7168,0.0645,0.0012,0.9102,0.8637,105.39,910.5714,105.39
NVIDIA L20,DeepSeek-V3,MoE_Down,moe,MoE expert down projection (~1 tokens/expert),1,1,bfloat16,1,7168,2048,0.0266,0.0024,1.1028,0.8635,127.72,1103.4616,127.72
NVIDIA L20,DeepSeek-V3,QKV_Proj,attention,"Fused QKV projection (128 q_head, 128 kv_head)",2,1,bfloat16,2,49152,7168,0.9544,0.0078,1.4766,1.7274,85.48,738.5337,85.48
NVIDIA L20,DeepSeek-V3,O_Proj,attention,Attention output projection,2,1,bfloat16,2,7168,7168,0.0788,0.0065,2.6065,1.7270,150.93,1304.0001,150.93
NVIDIA L20,DeepSeek-V3,MoE_Gate_Up,moe,"MoE expert gate+up (top8/256, ~1 tokens/expert)",2,1,bfloat16,1,4096,7168,0.0655,0.0024,0.8960,0.8637,103.74,896.3438,103.74
NVIDIA L20,DeepSeek-V3,MoE_Down,moe,MoE expert down projection (~1 tokens/expert),2,1,bfloat16,1,7168,2048,0.0266,0.0006,1.1028,0.8635,127.72,1103.4616,127.72
NVIDIA L20,DeepSeek-V3,QKV_Proj,attention,"Fused QKV projection (128 q_head, 128 kv_head)",3,1,bfloat16,3,49152,7168,0.9554,0.0065,2.2126,2.5908,85.40,737.8971,85.40
NVIDIA L20,DeepSeek-V3,O_Proj,attention,Attention output projection,3,1,bfloat16,3,7168,7168,0.0778,0.0023,3.9604,2.5898,152.92,1321.2547,152.92
NVIDIA L20,DeepSeek-V3,MoE_Gate_Up,moe,"MoE expert gate+up (top8/256, ~1 tokens/expert)",3,1,bfloat16,1,4096,7168,0.0655,0.0022,0.8960,0.8637,103.74,896.3438,103.74
NVIDIA L20,DeepSeek-V3,MoE_Down,moe,MoE expert down projection (~1 tokens/expert),3,1,bfloat16,1,7168,2048,0.0266,0.0012,1.1028,0.8635,127.72,1103.4616,127.72
NVIDIA L20,DeepSeek-V3,QKV_Proj,attention,"Fused QKV projection (128 q_head, 128 kv_head)",4,1,bfloat16,4,49152,7168,0.9544,0.0055,2.9533,3.4538,85.51,738.8069,85.51
NVIDIA L20,DeepSeek-V3,O_Proj,attention,Attention output projection,4,1,bfloat16,4,7168,7168,0.0778,0.0013,5.2817,3.4521,153.00,1321.8948,153.00
NVIDIA L20,DeepSeek-V3,MoE_Gate_Up,moe,"MoE expert gate+up (top8/256, ~1 tokens/expert)",4,1,bfloat16,1,4096,7168,0.0655,0.0019,0.8960,0.8637,103.74,896.3438,103.74
NVIDIA L20,DeepSeek-V3,MoE_Down,moe,MoE expert down projection (~1 tokens/expert),4,1,bfloat16,1,7168,2048,0.0267,0.0015,1.0988,0.8635,127.26,1099.4970,127.26
NVIDIA L20,DeepSeek-V3,QKV_Proj,attention,"Fused QKV projection (128 q_head, 128 kv_head)",8,1,bfloat16,8,49152,7168,0.9554,0.0062,5.9003,6.9032,85.47,738.4866,85.47
