device,pattern,size_mb,dtype,median_time_ms,std_time_ms,bandwidth_gbps,peak_bandwidth_gbps,utilization_pct,in_l2_cache
NVIDIA L20,seq_copy,0.25,float32,0.0215,0.0047,24.3810,864.0000,2.82,True
NVIDIA L20,seq_copy,0.5,float32,0.0216,0.0046,48.6533,864.0000,5.63,True
NVIDIA L20,seq_copy,1.0,float32,0.0205,0.0048,102.0810,864.0000,11.81,True
NVIDIA L20,seq_copy,2.0,float32,0.0210,0.0049,200.1099,864.0000,23.16,True
NVIDIA L20,seq_copy,4.0,float32,0.0215,0.0079,390.0952,864.0000,45.15,True
NVIDIA L20,seq_copy,9.6,float32,0.0225,0.0018,893.6726,864.0000,103.43,True
NVIDIA L20,seq_copy,24.0,float32,0.0287,0.0036,1755.4285,864.0000,203.17,True
NVIDIA L20,seq_copy,48.0,float32,0.0809,0.0078,1244.8469,864.0000,144.08,True
NVIDIA L20,seq_copy,72.0,float32,0.2375,0.0055,635.8003,864.0000,73.59,True
NVIDIA L20,seq_copy,96.0,float32,0.3205,0.0049,628.1406,864.0000,72.70,True
NVIDIA L20,seq_copy,144.0,float32,0.4782,0.0030,631.5032,864.0000,73.09,False
NVIDIA L20,seq_copy,192.0,float32,0.6318,0.0070,637.3031,864.0000,73.76,False
NVIDIA L20,seq_copy,256.0,float32,0.8401,0.0064,639.0590,864.0000,73.97,False
NVIDIA L20,seq_copy,384.0,float32,1.2370,0.0050,651.0199,864.0000,75.35,False
NVIDIA L20,seq_copy,512.0,float32,1.6471,0.0168,651.8968,864.0000,75.45,False
NVIDIA L20,seq_copy,1024.0,float32,3.1184,0.0050,688.6386,864.0000,79.70,False
NVIDIA L20,seq_copy,0.25,bfloat16,0.0225,0.0024,23.2727,864.0000,2.69,True
NVIDIA L20,seq_copy,0.5,bfloat16,0.0205,0.0052,51.2000,864.0000,5.93,True
NVIDIA L20,seq_copy,1.0,bfloat16,0.0214,0.0035,97.8880,864.0000,11.33,True
NVIDIA L20,seq_copy,2.0,bfloat16,0.0205,0.0021,204.8000,864.0000,23.70,True
NVIDIA L20,seq_copy,4.0,bfloat16,0.0216,0.0031,388.9377,864.0000,45.02,True
NVIDIA L20,seq_copy,9.6,bfloat16,0.0257,0.0021,783.9819,864.0000,90.74,True
NVIDIA L20,seq_copy,24.0,bfloat16,0.0246,0.0014,2047.9999,864.0000,237.04,True
NVIDIA L20,seq_copy,48.0,bfloat16,0.0793,0.0035,1269.4625,864.0000,146.93,True
NVIDIA L20,seq_copy,72.0,bfloat16,0.2395,0.0036,630.3643,864.0000,72.96,True
NVIDIA L20,seq_copy,96.0,bfloat16,0.3220,0.0053,625.2068,864.0000,72.36,True
NVIDIA L20,seq_copy,144.0,bfloat16,0.4803,0.0037,628.8102,864.0000,72.78,False
NVIDIA L20,seq_copy,192.0,bfloat16,0.6339,0.0045,635.2439,864.0000,73.52,False
NVIDIA L20,seq_copy,256.0,bfloat16,0.8437,0.0061,636.3201,864.0000,73.65,False
NVIDIA L20,seq_copy,384.0,bfloat16,1.2472,0.0183,645.6749,864.0000,74.73,False
NVIDIA L20,seq_copy,512.0,bfloat16,1.6583,0.0076,647.4940,864.0000,74.94,False
