device,pattern,size_mb,dtype,median_time_ms,std_time_ms,bandwidth_gbps,peak_bandwidth_gbps,utilization_pct,flush_l2_cache
NVIDIA L20,seq_copy,0.25,float32,0.0221,0.0077,23.6934,864.0000,2.74,True
NVIDIA L20,seq_copy,0.5,float32,0.0215,0.0029,48.7619,864.0000,5.64,True
NVIDIA L20,seq_copy,1.0,float32,0.0215,0.0042,97.3789,864.0000,11.27,True
NVIDIA L20,seq_copy,2.0,float32,0.0225,0.0017,186.1818,864.0000,21.55,True
NVIDIA L20,seq_copy,4.0,float32,0.0271,0.0035,309.1321,864.0000,35.78,True
NVIDIA L20,seq_copy,9.6,float32,0.0476,0.0030,422.8128,864.0000,48.94,True
NVIDIA L20,seq_copy,24.0,float32,0.0942,0.0040,534.2609,864.0000,61.84,True
NVIDIA L20,seq_copy,48.0,float32,0.1715,0.0021,587.1086,864.0000,67.95,True
NVIDIA L20,seq_copy,72.0,float32,0.2494,0.0027,605.5299,864.0000,70.08,True
NVIDIA L20,seq_copy,96.0,float32,0.3267,0.0047,616.3260,864.0000,71.33,True
NVIDIA L20,seq_copy,144.0,float32,0.4808,0.0035,628.1406,864.0000,72.70,True
NVIDIA L20,seq_copy,192.0,float32,0.6333,0.0049,635.8378,864.0000,73.59,True
NVIDIA L20,seq_copy,256.0,float32,0.8438,0.0086,636.2719,864.0000,73.64,True
NVIDIA L20,seq_copy,384.0,float32,1.2518,0.0061,643.2982,864.0000,74.46,True
NVIDIA L20,seq_copy,512.0,float32,1.6636,0.0057,645.4389,864.0000,74.70,True
NVIDIA L20,seq_copy,1024.0,float32,3.3060,0.0137,649.5747,864.0000,75.18,True
NVIDIA L20,seq_copy,0.25,bfloat16,0.0220,0.0038,23.8140,864.0000,2.76,True
NVIDIA L20,seq_copy,0.5,bfloat16,0.0205,0.0028,51.2000,864.0000,5.93,True
NVIDIA L20,seq_copy,1.0,bfloat16,0.0215,0.0076,97.4513,864.0000,11.28,True
NVIDIA L20,seq_copy,2.0,bfloat16,0.0224,0.0014,186.8453,864.0000,21.63,True
NVIDIA L20,seq_copy,4.0,bfloat16,0.0266,0.0045,315.0769,864.0000,36.47,True
NVIDIA L20,seq_copy,9.6,bfloat16,0.0533,0.0036,377.4118,864.0000,43.68,True
NVIDIA L20,seq_copy,24.0,bfloat16,0.0912,0.0089,552.0758,864.0000,63.90,True
NVIDIA L20,seq_copy,48.0,bfloat16,0.1690,0.0022,595.4999,864.0000,68.92,True
NVIDIA L20,seq_copy,72.0,bfloat16,0.2463,0.0032,613.1227,864.0000,70.96,True
NVIDIA L20,seq_copy,96.0,bfloat16,0.3225,0.0026,624.2763,864.0000,72.25,True
NVIDIA L20,seq_copy,144.0,bfloat16,0.4782,0.0049,631.5032,864.0000,73.09,True
NVIDIA L20,seq_copy,192.0,bfloat16,0.6303,0.0036,638.8562,864.0000,73.94,True
NVIDIA L20,seq_copy,256.0,bfloat16,0.8376,0.0054,640.9389,864.0000,74.18,True
NVIDIA L20,seq_copy,384.0,bfloat16,1.2493,0.0101,644.6164,864.0000,74.61,True
NVIDIA L20,seq_copy,512.0,bfloat16,1.6527,0.0084,649.6942,864.0000,75.20,True
NVIDIA L20,seq_copy,1024.0,bfloat16,3.2829,0.0850,654.1335,864.0000,75.71,True
NVIDIA L20,seq_write,0.25,float32,0.0195,0.0033,13.4737,864.0000,1.56,True
NVIDIA L20,seq_write,0.5,float32,0.0185,0.0018,28.2726,864.0000,3.27,True
NVIDIA L20,seq_write,1.0,float32,0.0193,0.0026,54.2517,864.0000,6.28,True
NVIDIA L20,seq_write,2.0,float32,0.0184,0.0011,113.7778,864.0000,13.17,True
NVIDIA L20,seq_write,4.0,float32,0.0184,0.0043,227.5555,864.0000,26.34,True
NVIDIA L20,seq_write,9.6,float32,0.0262,0.0035,384.7985,864.0000,44.54,True
NVIDIA L20,seq_write,24.0,float32,0.0420,0.0014,599.4146,864.0000,69.38,True
NVIDIA L20,seq_write,48.0,float32,0.0768,0.0025,655.3600,864.0000,75.85,True
NVIDIA L20,seq_write,72.0,float32,0.1121,0.0027,673.5073,864.0000,77.95,True
NVIDIA L20,seq_write,96.0,float32,0.1464,0.0098,687.4406,864.0000,79.56,True
NVIDIA L20,seq_write,144.0,float32,0.2156,0.0045,700.5036,864.0000,81.08,True
NVIDIA L20,seq_write,192.0,float32,0.2852,0.0025,705.9533,864.0000,81.71,True
NVIDIA L20,seq_write,256.0,float32,0.3768,0.0043,712.3478,864.0000,82.45,True
NVIDIA L20,seq_write,384.0,float32,0.5601,0.0025,718.8593,864.0000,83.20,True
NVIDIA L20,seq_write,512.0,float32,0.7434,0.0019,722.1598,864.0000,83.58,True
