device,pattern,size_mb,dtype,median_time_ms,std_time_ms,bandwidth_gbps,peak_bandwidth_gbps,utilization_pct,flush_l2_cache
NVIDIA L20,seq_copy,0.25,float32,0.0225,0.0055,23.2727,864.0000,2.69,False
NVIDIA L20,seq_copy,0.5,float32,0.0204,0.0016,51.4815,864.0000,5.96,False
NVIDIA L20,seq_copy,1.0,float32,0.0205,0.0011,102.4000,864.0000,11.85,False
NVIDIA L20,seq_copy,2.0,float32,0.0204,0.0046,205.4420,864.0000,23.78,False
NVIDIA L20,seq_copy,4.0,float32,0.0215,0.0073,390.0952,864.0000,45.15,False
NVIDIA L20,seq_copy,9.6,float32,0.0220,0.0032,917.1217,864.0000,106.15,False
NVIDIA L20,seq_copy,24.0,float32,0.0246,0.0039,2047.9999,864.0000,237.04,False
NVIDIA L20,seq_copy,48.0,float32,0.0614,0.0054,1638.4000,864.0000,189.63,False
NVIDIA L20,seq_copy,72.0,float32,0.2324,0.0017,649.5859,864.0000,75.18,False
NVIDIA L20,seq_copy,96.0,float32,0.3195,0.0031,630.1539,864.0000,72.93,False
NVIDIA L20,seq_copy,144.0,float32,0.4731,0.0029,638.3377,864.0000,73.88,False
NVIDIA L20,seq_copy,192.0,float32,0.6298,0.0130,639.3594,864.0000,74.00,False
NVIDIA L20,seq_copy,256.0,float32,0.8310,0.0059,646.0851,864.0000,74.78,False
NVIDIA L20,seq_copy,384.0,float32,1.2360,0.0063,651.5592,864.0000,75.41,False
NVIDIA L20,seq_copy,512.0,float32,1.6476,0.0125,651.7069,864.0000,75.43,False
NVIDIA L20,seq_copy,1024.0,float32,3.2783,0.0103,655.0530,864.0000,75.82,False
NVIDIA L20,seq_copy,0.25,bfloat16,0.0199,0.0024,26.2986,864.0000,3.04,False
NVIDIA L20,seq_copy,0.5,bfloat16,0.0195,0.0010,53.8947,864.0000,6.24,False
NVIDIA L20,seq_copy,1.0,bfloat16,0.0195,0.0010,107.7895,864.0000,12.48,False
NVIDIA L20,seq_copy,2.0,bfloat16,0.0195,0.0009,215.5790,864.0000,24.95,False
NVIDIA L20,seq_copy,4.0,bfloat16,0.0195,0.0016,431.1579,864.0000,49.90,False
NVIDIA L20,seq_copy,9.6,bfloat16,0.0348,0.0025,578.2587,864.0000,66.93,False
NVIDIA L20,seq_copy,24.0,bfloat16,0.0236,0.0020,2137.0434,864.0000,247.34,False
NVIDIA L20,seq_copy,48.0,bfloat16,0.0696,0.0126,1446.6443,864.0000,167.44,False
NVIDIA L20,seq_copy,72.0,bfloat16,0.2365,0.0017,638.3377,864.0000,73.88,False
NVIDIA L20,seq_copy,96.0,bfloat16,0.3174,0.0033,634.2193,864.0000,73.41,False
NVIDIA L20,seq_copy,144.0,bfloat16,0.4710,0.0034,641.1130,864.0000,74.20,False
NVIDIA L20,seq_copy,192.0,bfloat16,0.6236,0.0036,645.7080,864.0000,74.73,False
NVIDIA L20,seq_copy,256.0,bfloat16,0.8325,0.0040,644.8807,864.0000,74.64,False
NVIDIA L20,seq_copy,384.0,bfloat16,1.2288,0.0047,655.3600,864.0000,75.85,False
NVIDIA L20,seq_copy,512.0,bfloat16,1.6338,0.0094,657.2148,864.0000,76.07,False
NVIDIA L20,seq_copy,1024.0,bfloat16,3.2440,0.0146,661.9798,864.0000,76.62,False
NVIDIA L20,seq_write,0.25,float32,0.0195,0.0018,13.4737,864.0000,1.56,False
NVIDIA L20,seq_write,0.5,float32,0.0195,0.0031,26.9474,864.0000,3.12,False
NVIDIA L20,seq_write,1.0,float32,0.0186,0.0029,56.3993,864.0000,6.53,False
NVIDIA L20,seq_write,2.0,float32,0.0193,0.0007,108.4136,864.0000,12.55,False
NVIDIA L20,seq_write,4.0,float32,0.0184,0.0029,227.5555,864.0000,26.34,False
NVIDIA L20,seq_write,9.6,float32,0.0205,0.0033,491.5199,864.0000,56.89,False
NVIDIA L20,seq_write,24.0,float32,0.0215,0.0032,1170.2857,864.0000,135.45,False
NVIDIA L20,seq_write,48.0,float32,0.0297,0.0009,1694.8965,864.0000,196.17,False
NVIDIA L20,seq_write,72.0,float32,0.0389,0.0029,1940.2106,864.0000,224.56,False
NVIDIA L20,seq_write,96.0,float32,0.1454,0.0007,692.2817,864.0000,80.13,False
NVIDIA L20,seq_write,144.0,float32,0.2140,0.0011,705.5311,864.0000,81.66,False
NVIDIA L20,seq_write,192.0,float32,0.2847,0.0015,707.2230,864.0000,81.85,False
NVIDIA L20,seq_write,256.0,float32,0.3748,0.0026,716.2405,864.0000,82.90,False
NVIDIA L20,seq_write,384.0,float32,0.5581,0.0014,721.4972,864.0000,83.51,False
NVIDIA L20,seq_write,512.0,float32,0.7424,0.0022,723.1559,864.0000,83.70,False
NVIDIA L20,seq_write,1024.0,float32,1.4776,0.0045,726.6954,864.0000,84.11,False
NVIDIA L20,seq_write,0.25,bfloat16,0.0190,0.0018,13.8029,864.0000,1.60,False
NVIDIA L20,seq_write,0.5,bfloat16,0.0184,0.0010,28.4444,864.0000,3.29,False
NVIDIA L20,seq_write,1.0,bfloat16,0.0184,0.0007,56.8889,864.0000,6.58,False
NVIDIA L20,seq_write,2.0,bfloat16,0.0184,0.0030,113.7778,864.0000,13.17,False
NVIDIA L20,seq_write,4.0,bfloat16,0.0184,0.0008,227.5555,864.0000,26.34,False
NVIDIA L20,seq_write,9.6,bfloat16,0.0430,0.0011,234.0571,864.0000,27.09,False
NVIDIA L20,seq_write,24.0,bfloat16,0.0215,0.0008,1170.2857,864.0000,135.45,False
NVIDIA L20,seq_write,48.0,bfloat16,0.0297,0.0030,1694.8965,864.0000,196.17,False
NVIDIA L20,seq_write,72.0,bfloat16,0.0389,0.0024,1940.2106,864.0000,224.56,False
NVIDIA L20,seq_write,96.0,bfloat16,0.1485,0.0009,677.9586,864.0000,78.47,False
NVIDIA L20,seq_write,144.0,bfloat16,0.2191,0.0021,689.0467,864.0000,79.75,False
NVIDIA L20,seq_write,192.0,bfloat16,0.2939,0.0044,685.0453,864.0000,79.29,False
NVIDIA L20,seq_write,256.0,bfloat16,0.3860,0.0030,695.5151,864.0000,80.50,False
NVIDIA L20,seq_write,384.0,bfloat16,0.5785,0.0092,696.0538,864.0000,80.56,False
NVIDIA L20,seq_write,512.0,bfloat16,0.7680,0.0149,699.0507,864.0000,80.91,False
NVIDIA L20,seq_write,1024.0,bfloat16,1.5212,0.0093,705.8741,864.0000,81.70,False
NVIDIA L20,strided_copy,0.25,float32,0.0211,0.0026,24.8997,864.0000,2.88,False
NVIDIA L20,strided_copy,0.5,float32,0.0307,0.0117,34.1333,864.0000,3.95,False
NVIDIA L20,strided_copy,1.0,float32,0.0255,0.0103,82.1768,864.0000,9.51,False
NVIDIA L20,strided_copy,2.0,float32,0.0353,0.0106,118.7246,864.0000,13.74,False
NVIDIA L20,strided_copy,4.0,float32,0.0507,0.0039,165.4950,864.0000,19.15,False
NVIDIA L20,strided_copy,9.6,float32,0.1004,0.0043,200.6204,864.0000,23.22,False
NVIDIA L20,strided_copy,24.0,float32,0.2233,0.0069,225.3871,864.0000,26.09,False
NVIDIA L20,strided_copy,48.0,float32,0.4168,0.0665,241.5332,864.0000,27.96,False
NVIDIA L20,strided_copy,72.0,float32,0.6164,0.0075,244.9435,864.0000,28.35,False
NVIDIA L20,strided_copy,96.0,float32,0.8049,0.0036,250.1374,864.0000,28.95,False
NVIDIA L20,strided_copy,144.0,float32,1.4182,0.0080,212.9329,864.0000,24.65,False
NVIDIA L20,strided_copy,192.0,float32,13.9274,0.1655,28.9108,864.0000,3.35,False
NVIDIA L20,strided_copy,256.0,float32,31.8234,0.2349,16.8703,864.0000,1.95,False
NVIDIA L20,strided_copy,384.0,float32,57.7613,0.7499,13.9420,864.0000,1.61,False
NVIDIA L20,strided_copy,512.0,float32,77.4068,0.4855,13.8714,864.0000,1.61,False
NVIDIA L20,strided_copy,1024.0,float32,153.9118,0.3408,13.9527,864.0000,1.61,False
NVIDIA L20,strided_copy,0.25,bfloat16,0.0205,0.0048,25.6000,864.0000,2.96,False
NVIDIA L20,strided_copy,0.5,bfloat16,0.0236,0.0012,44.5217,864.0000,5.15,False
NVIDIA L20,strided_copy,1.0,bfloat16,0.0327,0.0011,64.1881,864.0000,7.43,False
NVIDIA L20,strided_copy,2.0,bfloat16,0.0486,0.0040,86.3168,864.0000,9.99,False
NVIDIA L20,strided_copy,4.0,bfloat16,0.0815,0.0011,102.9833,864.0000,11.92,False
NVIDIA L20,strided_copy,9.6,bfloat16,0.1751,0.0027,114.9544,864.0000,13.30,False
NVIDIA L20,strided_copy,24.0,bfloat16,0.4055,0.0029,124.1114,864.0000,14.36,False
NVIDIA L20,strided_copy,48.0,bfloat16,0.7967,0.0016,126.3548,864.0000,14.62,False
NVIDIA L20,strided_copy,72.0,bfloat16,1.1848,0.0087,127.4468,864.0000,14.75,False
NVIDIA L20,strided_copy,96.0,bfloat16,4.4882,0.1708,44.8569,864.0000,5.19,False
NVIDIA L20,strided_copy,144.0,bfloat16,42.8692,0.1913,7.0444,864.0000,0.82,False
NVIDIA L20,strided_copy,192.0,bfloat16,60.3084,0.2633,6.6766,864.0000,0.77,False
NVIDIA L20,strided_copy,256.0,bfloat16,80.6845,0.2605,6.6539,864.0000,0.77,False
NVIDIA L20,strided_copy,384.0,bfloat16,120.8530,0.1906,6.6635,864.0000,0.77,False
NVIDIA L20,strided_copy,512.0,bfloat16,161.3046,0.3891,6.6566,864.0000,0.77,False
NVIDIA L20,strided_copy,1024.0,bfloat16,322.7059,0.3040,6.6546,864.0000,0.77,False
