device,operation,data_size_bytes,data_size_human,world_size,dtype,median_time_ms,std_time_ms,bus_bandwidth_gbps,algo_bandwidth_gbps
NVIDIA RTX PRO 5000 72GB Blackwell,allreduce,4096,4KB,2,bfloat16,0.0234,0.0065,0.1750,0.1750
NVIDIA RTX PRO 5000 72GB Blackwell,allreduce,8192,8KB,2,bfloat16,0.0234,0.0011,0.3502,0.3502
NVIDIA RTX PRO 5000 72GB Blackwell,allreduce,16384,16KB,2,bfloat16,0.0237,0.0012,0.6919,0.6919
NVIDIA RTX PRO 5000 72GB Blackwell,allreduce,32768,32KB,2,bfloat16,0.0246,0.0008,1.3316,1.3316
NVIDIA RTX PRO 5000 72GB Blackwell,allreduce,65536,64KB,2,bfloat16,0.0256,0.0008,2.5616,2.5616
NVIDIA RTX PRO 5000 72GB Blackwell,allreduce,131072,128KB,2,bfloat16,0.0272,0.1238,4.8160,4.8160
NVIDIA RTX PRO 5000 72GB Blackwell,allreduce,262144,256KB,2,bfloat16,0.0309,0.0008,8.4935,8.4935
NVIDIA RTX PRO 5000 72GB Blackwell,allreduce,524288,512KB,2,bfloat16,0.0375,0.0007,13.9676,13.9676
NVIDIA RTX PRO 5000 72GB Blackwell,allreduce,1048576,1.0MB,2,bfloat16,0.0483,0.1791,21.7294,21.7294
NVIDIA RTX PRO 5000 72GB Blackwell,allreduce,2097152,2.0MB,2,bfloat16,0.0702,0.0012,29.8569,29.8569
NVIDIA RTX PRO 5000 72GB Blackwell,allreduce,4194304,4.0MB,2,bfloat16,0.1200,0.0008,34.9432,34.9432
NVIDIA RTX PRO 5000 72GB Blackwell,allreduce,8388608,8.0MB,2,bfloat16,0.2191,0.0010,38.2888,38.2888
NVIDIA RTX PRO 5000 72GB Blackwell,allreduce,16777216,16.0MB,2,bfloat16,0.4212,0.0066,39.8335,39.8335
NVIDIA RTX PRO 5000 72GB Blackwell,allreduce,33554432,32.0MB,2,bfloat16,0.8229,0.0083,40.7776,40.7776
NVIDIA RTX PRO 5000 72GB Blackwell,allreduce,67108864,64.0MB,2,bfloat16,1.6161,0.0094,41.5261,41.5261
NVIDIA RTX PRO 5000 72GB Blackwell,allreduce,134217728,128.0MB,2,bfloat16,3.5029,0.0376,38.3157,38.3157
NVIDIA RTX PRO 5000 72GB Blackwell,allreduce,268435456,256.0MB,2,bfloat16,6.9343,0.0742,38.7114,38.7114
NVIDIA RTX PRO 5000 72GB Blackwell,allreduce,536870912,512.0MB,2,bfloat16,13.5096,0.1574,39.7400,39.7400
NVIDIA RTX PRO 5000 72GB Blackwell,allgather,4096,4KB,2,bfloat16,0.0374,0.0397,0.0548,0.1096
NVIDIA RTX PRO 5000 72GB Blackwell,allgather,8192,8KB,2,bfloat16,0.0362,0.0021,0.1131,0.2261
NVIDIA RTX PRO 5000 72GB Blackwell,allgather,16384,16KB,2,bfloat16,0.0360,0.0018,0.2276,0.4551
NVIDIA RTX PRO 5000 72GB Blackwell,allgather,32768,32KB,2,bfloat16,0.0362,0.0013,0.4531,0.9062
NVIDIA RTX PRO 5000 72GB Blackwell,allgather,65536,64KB,2,bfloat16,0.0356,0.0020,0.9192,1.8384
NVIDIA RTX PRO 5000 72GB Blackwell,allgather,131072,128KB,2,bfloat16,0.0358,0.0015,1.8286,3.6571
NVIDIA RTX PRO 5000 72GB Blackwell,allgather,262144,256KB,2,bfloat16,0.0354,0.0015,3.7034,7.4069
