device,model,workload,batch_size,tp,dtype,M,N,K,median_time_ms,std_time_ms,tflops,theory_tflops,mfu_pct,bandwidth_gbps,mbu_pct
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,1,1,fp32,1,4096,4096,0.0892,0.0178,0.3760,0.6717,55.99,752.4389,55.99
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,2,1,fp32,2,4096,4096,0.0767,0.0016,0.8749,1.3427,65.16,875.7613,65.16
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,3,1,fp32,3,4096,4096,0.0763,0.0006,1.3192,2.0131,65.53,880.7817,65.53
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,4,1,fp32,4,4096,4096,0.0765,0.0004,1.7542,2.6828,65.39,878.8155,65.39
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,8,1,fp32,8,4096,4096,0.0775,0.0010,3.4635,5.3551,64.68,869.2585,64.68
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,16,1,fp32,16,4096,4096,0.0805,0.0008,6.6695,10.6687,62.52,840.2051,62.52
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,32,1,fp32,32,4096,4096,0.0784,0.0007,13.6985,21.1732,64.70,869.5325,64.70
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,64,1,fp32,64,4096,4096,0.0948,0.0008,22.6413,41.7047,54.29,729.6518,54.29
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,128,1,fp32,128,4096,4096,0.1312,0.0011,32.7360,65.0000,50.36,543.4693,40.44
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,256,1,fp32,256,4096,4096,0.2235,0.0006,38.4275,65.0000,59.12,337.7419,25.13
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,1024,1,fp32,1024,4096,4096,0.7442,0.0043,46.1715,65.0000,71.03,135.2681,10.06
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,4096,1,fp32,4096,4096,4096,2.8530,0.0448,48.1739,65.0000,74.11,70.5672,5.25
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,4099,1,fp32,4099,4096,4096,2.9728,0.0497,46.2665,65.0000,71.18,67.7567,5.04
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,5000,1,fp32,5000,4096,4096,3.7239,0.0424,45.0530,65.0000,69.31,62.0182,4.61
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,8192,1,fp32,8192,4096,4096,6.0365,0.0063,45.5360,65.0000,70.06,55.5859,4.14
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,1,1,bf16,1,4096,4096,0.0796,0.0019,0.4217,1.3433,31.39,421.9135,31.39
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,2,1,bf16,2,4096,4096,0.0540,0.0008,1.2439,2.6854,46.32,622.5385,46.32
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,3,1,bf16,3,4096,4096,0.0541,0.0005,1.8619,4.0261,46.25,621.5519,46.25
