device,model,workload,batch_size,tp,dtype,M,N,K,median_time_ms,std_time_ms,tflops,theory_tflops,mfu_pct,bandwidth_gbps,mbu_pct
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,1,1,mxfp8,1,6144,4096,0.0607,0.0171,0.8291,2.6863,30.87,414.8361,30.87
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,1,1,mxfp8,1,4096,4096,0.0546,0.0022,0.6150,2.6860,22.90,307.7255,22.90
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,1,1,mxfp8,1,6144,4096,0.0602,0.0010,0.8364,2.6863,31.14,418.4759,31.14
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,1,1,mxfp8,1,4096,3072,0.0449,0.0007,0.5607,2.6856,20.88,280.6189,20.88
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,2,1,mxfp8,2,6144,4096,0.0606,0.0008,1.6618,5.3690,30.95,415.9831,30.95
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,2,1,mxfp8,2,4096,4096,0.0534,0.0004,1.2565,5.3681,23.41,314.5932,23.41
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,2,1,mxfp8,1,6144,4096,0.0602,0.0018,0.8357,2.6863,31.11,418.1424,31.11
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,2,1,mxfp8,1,4096,3072,0.0446,0.0006,0.5638,2.6856,20.99,282.1276,20.99
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,3,1,mxfp8,3,6144,4096,0.0604,0.0009,2.4999,8.0483,31.06,417.4665,31.06
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,3,1,mxfp8,3,4096,4096,0.0538,0.0007,1.8713,8.0463,23.26,312.5758,23.26
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,3,1,mxfp8,1,6144,4096,0.0602,0.0011,0.8357,2.6863,31.11,418.1424,31.11
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,3,1,mxfp8,1,4096,3072,0.0449,0.0009,0.5599,2.6856,20.85,280.2193,20.85
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,4,1,mxfp8,4,6144,4096,0.0607,0.0014,3.3157,10.7241,30.92,415.5362,30.92
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,4,1,mxfp8,4,4096,4096,0.0534,0.0008,2.5123,10.7206,23.43,314.9590,23.43
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,4,1,mxfp8,1,6144,4096,0.0599,0.0009,0.8402,2.6863,31.28,420.3761,31.28
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,4,1,mxfp8,1,4096,3072,0.0438,0.0005,0.5745,2.6856,21.39,287.4858,21.39
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,8,1,mxfp8,8,6144,4096,0.0602,0.0009,6.6895,21.3926,31.27,420.2701,31.27
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,8,1,mxfp8,8,4096,4096,0.0536,0.0006,5.0096,21.3787,23.43,314.9358,23.43
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,8,1,mxfp8,1,6144,4096,0.0600,0.0010,0.8389,2.6863,31.23,419.7035,31.23
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,8,1,mxfp8,1,4096,3072,0.0443,0.0007,0.5680,2.6856,21.15,284.2672,21.15
