device,pattern,size_mb,dtype,median_time_ms,std_time_ms,bandwidth_gbps,peak_bandwidth_gbps,MBU,flush_l2_cache
NVIDIA RTX PRO 5000 72GB Blackwell,seq_copy,0.25,float32,0.0089,0.0012,58.8294,1344.0000,4.38,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_copy,0.5,float32,0.0088,0.0003,118.9401,1344.0000,8.85,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_copy,1.0,float32,0.0093,0.0003,226.3765,1344.0000,16.84,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_copy,2.0,float32,0.0093,0.0009,451.1945,1344.0000,33.57,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_copy,4.0,float32,0.0098,0.0006,853.8892,1344.0000,63.53,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_copy,9.6,float32,0.0219,0.0015,918.4606,1344.0000,68.34,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_copy,24.0,float32,0.0471,0.0020,1068.8848,1344.0000,79.53,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_copy,48.0,float32,0.0926,0.0008,1087.3585,1344.0000,80.90,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_copy,72.0,float32,0.1382,0.0008,1092.2667,1344.0000,81.27,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_copy,96.0,float32,0.1825,0.0014,1103.0869,1344.0000,82.07,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_copy,144.0,float32,0.2741,0.0012,1101.5739,1344.0000,81.96,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_copy,192.0,float32,0.3646,0.0011,1104.2485,1344.0000,82.16,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_copy,256.0,float32,0.4861,0.0017,1104.5272,1344.0000,82.18,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_copy,384.0,float32,0.7280,0.0012,1106.2144,1344.0000,82.31,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_copy,512.0,float32,0.9720,0.0017,1104.6908,1344.0000,82.19,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_copy,1024.0,float32,1.9404,0.0022,1106.7221,1344.0000,82.35,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_copy,0.25,bfloat16,0.0085,0.0014,61.3633,1344.0000,4.57,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_copy,0.5,bfloat16,0.0091,0.0013,115.3803,1344.0000,8.58,True
